gas_type                 	gas_val_u                	gas_res                  	CO2[g].logact            	pressure                 	gasvolume                	watervolume              	fixed_logact_CO2         	CO2[g].tot               	CO2[g].logact            	CO2g[s].si               	Ar[g].con                	Ar[g].gas                	Ar[g].logact             	Ar[g].tot                	CO2[g].logact            	CO2[g].con               	CO2[g].gas               	CO2[g].tot               	CO2[g].diss              	C.tot                    	gas_u                    	gas_res                  	CO2[g].tot               	CO2[g].con               	Ar[g].tot                	Ar[g].con                	CO2[g].diss              	CO2[g].liter             	I                        	H2CO3.con                	HCO3-.con                	CO3-2.con                	CO3-2.diss               	CO3-2.tot                	Ca+2.diss                	Ca+2.tot                 	Ca+2.diss                	Calcite[s].tot           	Calcite[s].con           	Aragonite[s].con         	
 0.0                     	 1.00000052              	 0.0                     	-6.28410627              	 1.00000052              	 1.00000000              	 1.00000000              	-3.35000000              	 5.19868772e-7           	-6.28410627              	-2.93410627              	 1.00000000              	 1.00000000              	 0.0                     	 1.00000000              	-6.28410627              	 5.19868772e-7           	 5.19868772e-7           	 5.19868772e-7           	 0.0                     	 0.0                     	 1.11111111e-111         	 0.0                     	 5.19868772e-7           	 5.19868772e-7           	 1.00000000              	 1.00000000              	 0.0                     	 5.19868772e-7           	 3.70017248e-4           	 1.77784433e-8           	 7.56157549e-5           	 3.54513435e-5           	 1.16476573e-4           	 1.00000000e-3           	 1.16996442e-4           	 1.00000000e-3           	 1.16996442e-4           	 8.83003558e-4           	 8.83003558e-4           	 0.0                     	
 0.0                     	 4.10000001e-2           	 0.0                     	-10.0002082              	 4.10000001e-2           	 1.00000000              	 1.00000000e-3           	-3.35000000              	 9.99520794e-11          	-10.0002082              	-6.65020817              	 4.10000000e-2           	 4.10000000e-2           	-1.38721614              	 4.10000000e-2           	-10.0002082              	 9.99520794e-11          	 9.99520794e-11          	 9.99520794e-11          	 0.0                     	 0.0                     	 1.11111111e-111         	 0.0                     	 9.99520794e-11          	 9.99520794e-11          	 4.10000000e-2           	 4.10000000e-2           	 0.0                     	 9.99520794e-8           	 3.34245536e-7           	 3.41815564e-12          	 4.44388684e-11          	 6.09991241e-14          	 4.79181153e-11          	 1.00000000e-10          	 1.00000000e-7           	 1.00000000e-10          	 1.00000000e-7           	 0.0                     	 0.0                     	 0.0                     	
 0.0                     	 1.00000000              	 0.0                     	-10.0807789              	 1.00000000              	 1.00000000              	 1.00000000              	-3.35000000              	 8.30273432e-11          	-10.0807789              	-6.73077886              	 1.00000000              	 1.00000000              	 3.54705910e-17          	 1.00000000              	-10.0807789              	 8.30273432e-11          	 8.30273432e-11          	 8.30273432e-11          	 0.0                     	 0.0                     	 1.11111111e-111         	 0.0                     	 8.30273432e-11          	 8.30273432e-11          	 1.00000000              	 1.00000000              	 0.0                     	 8.30273432e-11          	 8.97357540e-8           	 2.83936445e-12          	 1.41258772e-11          	 7.41506911e-15          	 1.69726568e-11          	 1.00000000e-10          	 9.99999534e-11          	 1.00000000e-10          	 9.99999534e-11          	 0.0                     	 0.0                     	 0.0                     	
 1.00000000              	 1.00000000              	 0.0                     	-10.0807789              	 1.00000000              	 1.00000000              	 1.00000000              	-3.35000000              	 8.30273432e-11          	-10.0807789              	-6.73077886              	 1.00000000              	 1.00000000              	-3.60583061e-11          	 1.00000000              	-10.0807789              	 8.30273432e-11          	 8.30273432e-11          	 8.30273432e-11          	 0.0                     	 0.0                     	 1.11111111e-111         	 0.0                     	 8.30273432e-11          	 8.30273432e-11          	 1.00000000              	 1.00000000              	 0.0                     	 8.30273432e-11          	 8.97357540e-8           	 2.83936445e-12          	 1.41258772e-11          	 7.41506911e-15          	 1.69726568e-11          	 1.00000000e-10          	 1.00000000e-10          	 1.00000000e-10          	 1.00000000e-10          	 0.0                     	 0.0                     	 0.0                     	
 1.00000000              	 2.02484568e-1           	 0.0                     	-8.61781475              	 1.00000000              	 4.10000001e-2           	 1.00000000e-3           	-3.35000000              	 9.88482788e-11          	-8.61781475              	-5.26781475              	 9.99999998e-1           	 9.99999998e-1           	-1.04705515e-9           	 4.10000000e-2           	-8.61781475              	 2.41093362e-9           	 2.41093362e-9           	 9.88482788e-11          	 0.0                     	 0.0                     	 1.11111111e-111         	 0.0                     	 9.88482788e-11          	 2.41093362e-9           	 4.10000000e-2           	 9.99999998e-1           	 0.0                     	 9.88482788e-8           	 3.34378292e-7           	 8.24489737e-11          	 1.06780986e-9           	 1.46013216e-12          	 1.15172118e-9           	 1.00000000e-10          	 1.00000000e-7           	 1.00000000e-10          	 1.00000000e-7           	 0.0                     	 0.0                     	 0.0                     	
 1.00000000              	 1.00000000              	 0.0                     	-10.0807789              	 1.00000000              	 1.00000000              	 1.00000000              	-3.35000000              	 8.30273432e-11          	-10.0807789              	-6.73077886              	 1.00000000              	 1.00000000              	-3.60583159e-11          	 1.00000000              	-10.0807789              	 8.30273432e-11          	 8.30273432e-11          	 8.30273432e-11          	 0.0                     	 0.0                     	 1.11111111e-111         	 0.0                     	 8.30273432e-11          	 8.30273432e-11          	 1.00000000              	 1.00000000              	 0.0                     	 8.30273432e-11          	 8.97357540e-8           	 2.83936445e-12          	 1.41258772e-11          	 7.41506911e-15          	 1.69726568e-11          	 1.00000000e-10          	 9.99999492e-11          	 1.00000000e-10          	 9.99999492e-11          	 0.0                     	 0.0                     	 0.0                     	
 1.00000000              	 1.00022342              	 0.0                     	-3.35000000              	 1.00000000              	 1.00044688              	 1.00000000              	-3.35000000              	 9.99982115e-1           	-3.35000000              	-1.33226763e-15          	 9.99553316e-1           	 9.99553316e-1           	-1.94035559e-4           	 1.00000000              	-3.35000000              	 4.46683592e-4           	 4.46683592e-4           	 9.99982115e-1           	 0.0                     	 0.0                     	 1.11111111e-111         	 0.0                     	 9.99982115e-1           	 4.46683592e-4           	 1.00000000              	 9.99553316e-1           	 0.0                     	 9.99982115e-1           	 2.61292681e-6           	 1.52756606e-5           	 2.60960779e-6           	 4.71842588e-11          	 1.78853156e-5           	 1.00000000              	 1.00000000e-10          	 1.00000000e-10          	 1.00000000e-10          	 0.0                     	 0.0                     	 0.0                     	
 0.0                     	 1.00000052              	 0.0                     	-6.28410627              	 1.00000052              	 1.00000000              	 1.00000000              	-3.35000000              	 5.19868772e-7           	-6.28410627              	-2.93410627              	 1.00000000              	 1.00000000              	-2.13683947e-17          	 1.00000000              	-6.28410627              	 5.19868772e-7           	 5.19868772e-7           	 5.19868772e-7           	 0.0                     	 0.0                     	 1.11111111e-111         	 0.0                     	 5.19868772e-7           	 5.19868772e-7           	 1.00000000              	 1.00000000              	 0.0                     	 5.19868772e-7           	 3.70017248e-4           	 1.77784433e-8           	 7.56157549e-5           	 3.54513435e-5           	 1.16476573e-4           	 1.00000000              	 1.16996442e-4           	 1.00000000              	 1.16996442e-4           	 9.99883004e-1           	 9.99883004e-1           	 0.0                     	
 1.00000000              	 1.00000026              	 0.0                     	-6.28410627              	 1.00000000              	 1.00000052              	 1.00000000              	-3.35000000              	 5.19869039e-7           	-6.28410627              	-2.93410627              	 9.99999480e-1           	 9.99999480e-1           	-2.25776196e-7           	 1.00000000              	-6.28410627              	 5.19868768e-7           	 5.19868768e-7           	 5.19869039e-7           	 0.0                     	 0.0                     	 1.11111111e-111         	 0.0                     	 5.19869039e-7           	 5.19868768e-7           	 1.00000000              	 9.99999480e-1           	 0.0                     	 5.19869039e-7           	 3.70017248e-4           	 1.77784432e-8           	 7.56157546e-5           	 3.54513435e-5           	 1.16476573e-4           	 1.00000000              	 1.16996442e-4           	 1.00000000              	 1.16996442e-4           	 9.99883004e-1           	 9.99883004e-1           	 0.0                     	
 1.00000000              	 1.00000026              	 0.0                     	-6.28410627              	 1.00000000              	 1.00000052              	 1.00000000              	-3.35000000              	 5.19869039e-7           	-6.28410627              	-2.93410627              	 9.99999480e-1           	 9.99999480e-1           	-2.25776196e-7           	 1.00000000              	-6.28410627              	 5.19868768e-7           	 5.19868768e-7           	 5.19869039e-7           	 0.0                     	 0.0                     	 1.11111111e-111         	 0.0                     	 5.19869039e-7           	 5.19868768e-7           	 1.00000000              	 9.99999480e-1           	 0.0                     	 5.19869039e-7           	 3.70017248e-4           	 1.77784432e-8           	 7.56157546e-5           	 3.54513435e-5           	 1.16476573e-4           	 1.00000000              	 1.16996442e-4           	 1.00000000              	 1.16996442e-4           	 9.99883004e-1           	 9.99883004e-1           	 0.0                     	
