        soln	          pH	        temp	         Alk	          mu	      charge	     pct_err	        C(4)	          Ca	      m_Ca+2	     m_HCO3-	     m_CO3-2	      CO2(g)	    d_CO2(g)	     Calcite	   d_Calcite	   si_CO2(g)	  si_Calcite	
           1	        7.32	      24.300	  0.00464569	   0.0156415	 0.000228636	     1.24881	  5.0517e-03	  4.1201e-03	  3.4204e-03	  4.4560e-03	  6.1708e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -1.9078	      0.3829	
           2	        7.23	      24.600	  0.00467424	   0.0160198	 0.000349592	     1.87034	  5.1830e-03	  4.1951e-03	  3.4775e-03	  4.4859e-03	  5.0995e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -1.8135	      0.3046	
           3	         7.2	      24.700	  0.00462496	   0.0160118	 0.000118724	    0.635358	  5.1666e-03	  4.2201e-03	  3.4893e-03	  4.4423e-03	  4.7224e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -1.7871	      0.2733	
           4	        7.24	      24.300	   0.0045939	    0.015742	 0.000403218	     2.19729	  5.0845e-03	  4.1950e-03	  3.4891e-03	  4.4101e-03	  5.0846e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -1.8324	      0.3064	
           5	        7.43	      23.600	  0.00483148	   0.0159094	 4.82483e-06	   0.0259346	  5.1501e-03	  4.1950e-03	  3.4748e-03	  4.6219e-03	  8.1439e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -2.0066	      0.5040	
           6	        7.79	      21.400	   0.0050184	    0.015897	-0.000230834	    -1.23581	  5.1173e-03	  4.1451e-03	  3.4244e-03	  4.7457e-03	  1.8246e-05	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -2.3686	      0.8379	
           7	        8.06	      20.500	  0.00512351	   0.0157636	-0.000387296	    -2.08769	  5.1009e-03	  4.0951e-03	  3.3639e-03	  4.7579e-03	  3.3325e-05	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -2.6427	      1.0892	
           8	        8.27	      19.700	   0.0046636	   0.0154188	-0.000162016	   -0.903076	  4.5595e-03	  3.9951e-03	  3.2635e-03	  4.2332e-03	  4.7043e-05	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -2.9078	      1.2260	
           9	        8.28	      19.600	  0.00458225	   0.0152021	-0.000199688	    -1.13032	  4.4774e-03	  3.9201e-03	  3.2046e-03	  4.1581e-03	  4.7076e-05	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -2.9258	      1.2204	
          10	        8.37	      18.400	   0.0044615	   0.0149292	-0.000353092	    -2.03871	  4.3297e-03	  3.7703e-03	  3.0740e-03	  4.0121e-03	  5.4153e-05	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -3.0380	      1.2611	
          11	        8.25	      14.400	  0.00348254	   0.0127023	-0.000476803	    -3.25356	  3.4437e-03	  3.0458e-03	  2.5528e-03	  3.2455e-03	  2.9338e-05	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -3.0295	      0.9249	
           1	     8.22804	      14.400	  0.00333848	   0.0141586	 0.000228636	     1.41885	  3.3016e-03	  3.4665e-03	  2.8823e-03	  3.1002e-03	  2.7045e-05	  1.0001e+01	  1.0965e-03	  6.5359e-04	  6.5359e-04	     -3.0296	      0.9249	
