// The column headers in this file can be edited and determine the output for the next run.
Var: 	failed                   	gas_type                 	tot_nr_iter              	gas.gas                  	gas.logact               	H2O[g].con               	CO2[g].con               	tot_nr_iter              	molargasvolume           	pH                       	gas_val_u                	gasvolume                	gas_type                 	gas_res                  	gasvolume                	pressure                 	pressure_calc            	CO2[g].con               	C.gas                    	C.liter                  	C.tot                    	C.gas                    	CO2.con                  	CO3-2.con                	HCO3-.con                	
Data:	 0.0                     	 0.0                     	 39.0000000              	 7.82840749e-1           	 0.0                     	 3.15456151e-2           	 7.51295134e-1           	 39.0000000              	 31.6655533              	 1.00000000              	 7.82840749e-1           	 20.0000000              	 0.0                     	 0.0                     	 20.0000000              	 7.82840749e-1           	 1.11111111e-111         	 7.51295134e-1           	 7.51295134e-1           	 2.54811259e-2           	 5.00000000e-1           	 7.51295134e-1           	 2.54571966e-2           	 1.17797370e-16          	 1.38466936e-7           	
Data:	 0.0                     	 0.0                     	 7.00000000              	 8.88133504e-1           	 0.0                     	 3.15436952e-2           	 8.56589809e-1           	 7.00000000              	 27.9114405              	 1.00000000              	 8.88133504e-1           	 15.3454100              	 0.0                     	 0.0                     	 15.3454100              	 8.88133504e-1           	 1.11111111e-111         	 8.56589809e-1           	 8.56589809e-1           	 2.90561298e-2           	 5.00000000e-1           	 8.56589809e-1           	 2.90250451e-2           	 1.34298607e-16          	 1.57863592e-7           	
Data:	 0.0                     	 0.0                     	 7.00000000              	 1.00735853              	 0.0                     	 3.15415209e-2           	 9.75817005e-1           	 7.00000000              	 24.6080068              	 1.00000000              	 1.00735853              	 11.7740804              	 0.0                     	 0.0                     	 11.7740804              	 1.00735853              	 1.11111111e-111         	 9.75817005e-1           	 9.75817005e-1           	 3.31053040e-2           	 5.00000000e-1           	 9.75817005e-1           	 3.30649890e-2           	 1.52980852e-16          	 1.79823948e-7           	
Data:	 0.0                     	 0.0                     	 7.00000000              	 1.14219766              	 0.0                     	 3.15390614e-2           	 1.11065860              	 7.00000000              	 21.7029734              	 1.00000000              	 1.14219766              	 9.03390452              	 0.0                     	 0.0                     	 9.03390452              	 1.14219766              	 1.11111111e-111         	 1.11065860              	 1.11065860              	 3.76862159e-2           	 5.00000000e-1           	 1.11065860              	 3.76340176e-2           	 1.74106681e-16          	 2.04656655e-7           	
Data:	 0.0                     	 0.0                     	 7.00000000              	 1.29448688              	 0.0                     	 3.15362832e-2           	 1.26295060              	 7.00000000              	 19.1497386              	 1.00000000              	 1.29448688              	 6.93144843              	 0.0                     	 0.0                     	 6.93144843              	 1.29448688              	 1.11111111e-111         	 1.26295060              	 1.26295060              	 4.28618055e-2           	 5.00000000e-1           	 1.26295060              	 4.27943430e-2           	 1.97962527e-16          	 2.32698401e-7           	
Data:	 0.0                     	 0.0                     	 7.00000000              	 1.46621455              	 0.0                     	 3.15331497e-2           	 1.43468140              	 7.00000000              	 16.9068609              	 1.00000000              	 1.46621455              	 5.31829590              	 0.0                     	 0.0                     	 5.31829590              	 1.46621455              	 1.11111111e-111         	 1.43468140              	 1.43468140              	 4.87003613e-2           	 5.00000000e-1           	 1.43468140              	 4.86133409e-2           	 2.24858326e-16          	 2.64313508e-7           	
Data:	 0.0                     	 0.0                     	 7.00000000              	 1.65951328              	 0.0                     	 3.15296218e-2           	 1.62798366              	 7.00000000              	 14.9375638              	 1.00000000              	 1.65951328              	 4.08057155              	 0.0                     	 0.0                     	 4.08057155              	 1.65951328              	 1.11111111e-111         	 1.62798366              	 1.62798366              	 5.52752841e-2           	 5.00000000e-1           	 1.62798366              	 5.51632749e-2           	 2.55126161e-16          	 2.99892325e-7           	
Data:	 0.0                     	 0.0                     	 7.00000000              	 1.87664306              	 0.0                     	 3.15256580e-2           	 1.84511740              	 7.00000000              	 13.2092703              	 1.00000000              	 1.87664306              	 3.13090217              	 0.0                     	 0.0                     	 3.13090217              	 1.87664306              	 1.11111111e-111         	 1.84511740              	 1.84511740              	 6.26645597e-2           	 5.00000000e-1           	 1.84511740              	 6.25207248e-2           	 2.89117512e-16          	 3.39848003e-7           	
Data:	 0.0                     	 0.0                     	 7.00000000              	 2.11996280              	 0.0                     	 3.15212147e-2           	 2.08844158              	 7.00000000              	 11.6931700              	 1.00000000              	 2.11996280              	 2.40224887              	 0.0                     	 0.0                     	 2.40224887              	 2.11996280              	 1.11111111e-111         	 2.08844158              	 2.08844158              	 7.09498444e-2           	 5.00000000e-1           	 2.08844158              	 7.07656225e-2           	 3.27198693e-16          	 3.84611130e-7           	
Data:	 0.0                     	 0.0                     	 7.00000000              	 2.39188698              	 0.0                     	 3.15162476e-2           	 2.36037073              	 7.00000000              	 10.3638197              	 1.00000000              	 2.39188698              	 1.84317469              	 0.0                     	 0.0                     	 1.84317469              	 2.39188698              	 1.11111111e-111         	 2.36037073              	 2.36037073              	 8.02150453e-2           	 5.00000000e-1           	 2.36037073              	 7.99797829e-2           	 3.69743937e-16          	 4.34621603e-7           	
