 pH                      	 pressure                	 gasvolume               	 gas_u                   	 gas_res                 	 CO2[g].tot              	 CO2[g].con              	 Ar[g].tot               	 Ar[g].con               	 pressure                	 gasvolume               	 CO2[g].diss             	 CO2[g].liter            	 Calcite[s].si           	 I                       	 H2CO3.con               	 HCO3-.con               	 CO3-2.con               	 CO3-2.diss              	 CO3-2.tot               	 Ca+2.diss               	 Ca+2.tot                	 Ca+2.diss               	 Calcite[s].tot          	 Calcite[s].con          	 Aragonite[s].con        	
 4.08082788              	 1.00000000              	 4.50789309              	 4.50789309              	 0.0                     	 1.00000000e-1           	 4.57276310e-1           	 1.00000000e-1           	 5.42723690e-1           	 1.00000000              	 4.50789309              	 1.57441772e-2           	 1.00000000e-1           	 1.11111111e-111         	 1.00000000e-1           	 1.56379098e-2           	 1.06267264e-4           	 1.26984505e-10          	 1.57441772e-2           	 1.57441772e-2           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 4.24800610              	 1.00000000              	 3.10375735e-1           	 3.10375735e-1           	 0.0                     	 1.00000000e-2           	 2.11748829e-1           	 1.00000000e-2           	 7.88251171e-1           	 1.00000000              	 3.10375735e-1           	 7.31368837e-3           	 1.00000000e-2           	 1.11111111e-111         	 1.00000000e-1           	 7.24137464e-3           	 7.23136088e-5           	 1.26984142e-10          	 7.31368837e-3           	 7.31368837e-3           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 6.99294061              	 1.00000000              	 2.44654037e-1           	 2.44654037e-1           	 0.0                     	 1.00000000e-20          	 8.29220699e-14          	 1.00000000e-2           	 1.00000000              	 1.00000000              	 2.44654037e-1           	 1.85910884e-14          	 1.94203091e-14          	 1.11111111e-111         	 1.00000000e-1           	 2.83576432e-15          	 1.57399613e-14          	 1.53627026e-17          	 1.85910884e-14          	 1.85910884e-14          	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 3.98313634              	 1.00000000              	 8.64719147e-1           	 8.64719147e-1           	 0.0                     	 5.00000000e-2           	 7.17071100e-1           	 1.00000000e-2           	 2.82928900e-1           	 1.00000000              	 8.64719147e-1           	 2.46554311e-2           	 5.00000000e-2           	 1.11111111e-111         	 1.00000000e-1           	 2.45223575e-2           	 1.33073470e-4           	 1.26984635e-10          	 2.46554311e-2           	 2.46554311e-2           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 3.93993936              	 1.00000000              	 1.95560220              	 1.95560220              	 0.0                     	 1.00000000e-1           	 8.74895806e-1           	 1.00000000e-2           	 1.25104194e-1           	 1.00000000              	 1.95560220              	 3.00666284e-2           	 1.00000000e-1           	 1.11111111e-111         	 1.00000000e-1           	 2.99196380e-2           	 1.46990279e-4           	 1.26984680e-10          	 3.00666284e-2           	 3.00666284e-2           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 3.92853617              	 1.00000000              	 3.13930968              	 3.13930968              	 0.0                     	 1.50000000e-1           	 9.22067568e-1           	 1.00000000e-2           	 7.79324316e-2           	 1.00000000              	 3.13930968              	 3.16837163e-2           	 1.50000000e-1           	 1.11111111e-111         	 1.00000000e-1           	 3.15328153e-2           	 1.50900903e-4           	 1.26984691e-10          	 3.16837163e-2           	 3.16837163e-2           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 3.92350384              	 1.00000000              	 4.34444956              	 4.34444956              	 0.0                     	 2.00000000e-1           	 9.43685838e-1           	 1.00000000e-2           	 5.63141622e-2           	 1.00000000              	 4.34444956              	 3.24247754e-2           	 2.00000000e-1           	 1.11111111e-111         	 1.00000000e-1           	 3.22721157e-2           	 1.52659625e-4           	 1.26984695e-10          	 3.24247754e-2           	 3.24247754e-2           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 3.92069384              	 1.00000000              	 5.55741191              	 5.55741191              	 0.0                     	 2.50000000e-1           	 9.55976983e-1           	 1.00000000e-2           	 4.40230167e-2           	 1.00000000              	 5.55741191              	 3.28460983e-2           	 2.50000000e-1           	 1.11111111e-111         	 1.00000000e-1           	 3.26924476e-2           	 1.53650577e-4           	 1.26984698e-10          	 3.28460983e-2           	 3.28460983e-2           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 3.91890526              	 1.00000000              	 6.77405134              	 6.77405134              	 0.0                     	 3.00000000e-1           	 9.63883646e-1           	 1.00000000e-2           	 3.61163541e-2           	 1.00000000              	 6.77405134              	 3.31171240e-2           	 3.00000000e-1           	 1.11111111e-111         	 1.00000000e-1           	 3.29628392e-2           	 1.54284674e-4           	 1.26984700e-10          	 3.31171240e-2           	 3.31171240e-2           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 3.91766822              	 1.00000000              	 7.99270350              	 7.99270350              	 0.0                     	 3.50000000e-1           	 9.69390327e-1           	 1.00000000e-2           	 3.06096726e-2           	 1.00000000              	 7.99270350              	 3.33058813e-2           	 3.50000000e-1           	 1.11111111e-111         	 1.00000000e-1           	 3.31511564e-2           	 1.54724762e-4           	 1.26984701e-10          	 3.33058813e-2           	 3.33058813e-2           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
