 pH                      	 pressure                	 gasvolume               	 gas_u                   	 gas_res                 	 CO2[g].tot              	 CO2[g].con              	 Ar[g].tot               	 Ar[g].con               	 pressure                	 gasvolume               	 CO2[g].diss             	 CO2[g].liter            	 Calcite[s].si           	 I                       	 H2CO3.con               	 HCO3-.con               	 CO3-2.con               	 CO3-2.diss              	 CO3-2.tot               	 Ca+2.diss               	 Ca+2.tot                	 Ca+2.diss               	 Calcite[s].tot          	 Calcite[s].con          	 Aragonite[s].con        	
 3.94336238              	 13.0939143              	 2.00000000              	 2.00001000              	 1.00000000              	 1.00000000e-1           	 8.61212417e-1           	 1.00000000              	 12.2327018              	 13.0939143              	 2.00000000              	 2.95975306e-2           	 1.00000000e-1           	 1.11111111e-111         	 1.00000000e-1           	 2.94516942e-2           	 1.45836282e-4           	 1.26984677e-10          	 2.95975306e-2           	 2.95975306e-2           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 4.93282519              	 1.83818021e-2           	 2.00000000              	 2.00001000              	 1.00000000              	 1.00000000e-2           	 9.03952172e-3           	 1.00000000e-2           	 9.34228039e-3           	 1.83818021e-2           	 2.00000000              	 3.24073633e-4           	 1.00000000e-2           	 1.11111111e-111         	 1.00000000e-1           	 3.09133060e-4           	 1.49404461e-5           	 1.26973213e-10          	 3.24073633e-4           	 3.24073633e-4           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 6.99294061              	 6.65478922              	 2.00000000              	 2.00001000              	 1.00000000              	 1.00000000e-20          	 2.83596932e-13          	 1.00000000e-2           	 6.65478922              	 6.65478922              	 2.00000000              	 6.35822964e-14          	 6.40084510e-14          	 1.11111111e-111         	 1.00000000e-1           	 9.69843208e-15          	 5.38313232e-14          	 5.25410825e-17          	 6.35822964e-14          	 6.35822964e-14          	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 4.44267524              	 1.04775056e-1           	 2.00000000              	 2.00001000              	 1.00000000              	 5.00000000e-2           	 8.63932534e-2           	 1.00000000e-2           	 1.83818021e-2           	 1.04775056e-1           	 2.00000000              	 3.00066179e-3           	 5.00000000e-2           	 1.11111111e-111         	 1.00000000e-1           	 2.95447166e-3           	 4.61900030e-5           	 1.26983293e-10          	 3.00066179e-3           	 3.00066179e-3           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 3.72697423              	 3.50037200              	 2.00000000              	 2.00001000              	 1.00000000              	 1.00000000e-1           	 2.33285157              	 1.00000000e-2           	 1.16752044              	 3.50037200              	 2.00000000              	 8.00187517e-2           	 1.00000000e-1           	 1.11111111e-111         	 1.00000000e-1           	 7.97787278e-2           	 2.40023770e-4           	 1.26984827e-10          	 8.00187517e-2           	 8.00187517e-2           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 4.07583739              	 5.02854040e-1           	 2.00000000              	 2.00001000              	 1.00000000              	 1.50000000e-1           	 4.67907177e-1           	 1.00000000e-2           	 3.49468623e-2           	 5.02854040e-1           	 2.00000000              	 1.61089591e-2           	 1.50000000e-1           	 1.11111111e-111         	 1.00000000e-1           	 1.60014636e-2           	 1.07495433e-4           	 1.26984513e-10          	 1.61089591e-2           	 1.61089591e-2           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 3.69909364              	 2.89572231              	 2.00000000              	 2.00001000              	 1.00000000              	 2.00000000e-1           	 2.65245685              	 1.00000000e-2           	 2.43265458e-1           	 2.89572231              	 2.00000000              	 9.09645098e-2           	 2.00000000e-1           	 1.11111111e-111         	 1.00000000e-1           	 9.07085716e-2           	 2.55938067e-4           	 1.26984840e-10          	 9.09645098e-2           	 9.09645098e-2           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 3.92849736              	 9.64476428e-1           	 2.00000000              	 2.00001000              	 1.00000000              	 2.50000000e-1           	 9.22232385e-1           	 1.00000000e-2           	 4.22440432e-2           	 9.64476428e-1           	 2.00000000              	 3.16893662e-2           	 2.50000000e-1           	 1.11111111e-111         	 1.00000000e-1           	 3.15384517e-2           	 1.50914389e-4           	 1.26984691e-10          	 3.16893662e-2           	 3.16893662e-2           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 3.69916249              	 2.77844853              	 2.00000000              	 2.00001000              	 1.00000000              	 3.00000000e-1           	 2.65161596              	 1.00000000e-2           	 1.26832564e-1           	 2.77844853              	 2.00000000              	 9.09357126e-2           	 3.00000000e-1           	 1.11111111e-111         	 1.00000000e-1           	 9.06798149e-2           	 2.55897494e-4           	 1.26984840e-10          	 9.09357126e-2           	 9.09357126e-2           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 3.84759177              	 1.38263004              	 2.00000000              	 2.00001000              	 1.00000000              	 3.50000000e-1           	 1.33860295              	 1.00000000e-2           	 4.40270954e-2           	 1.38263004              	 2.00000000              	 4.59592870e-2           	 3.50000000e-1           	 1.11111111e-111         	 1.00000000e-1           	 4.57774690e-2           	 1.81817829e-4           	 1.26984756e-10          	 4.59592870e-2           	 4.59592870e-2           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
