 CO2[g].tot              	 Ar[g].logact            	 Ar[g].con               	 pH                      	 CO2[g].logact           	 CO2[g].con              	 CO2[g].tot              	 CO2[g].diss             	 CO2[g].liter            	 Calcite[s].si           	 I                       	 H2CO3.con               	 HCO3-.con               	 CO3-2.con               	 CO3-2.diss              	 CO3-2.tot               	 Ca+2.diss               	 Ca+2.tot                	 Ca+2.diss               	 Calcite[s].tot          	 Calcite[s].con          	 Aragonite[s].con        	
 1.00000000e-20          	 0.0                     	 1.00000000              	 7.00000000              	-21.1531117              	 7.02891528e-22          	 1.00000000e-20          	 1.15009790e-20          	 1.15297090e-20          	-16.2770465              	 3.00070935              	 2.40374453e-23          	 1.76214066e-22          	 1.43488905e-26          	 1.15009790e-20          	 1.15009790e-20          	 1.00000000              	 1.00000000              	 1.00000000              	 0.0                     	 0.0                     	 0.0                     	
 1.00000000e-3           	 0.0                     	 1.00000000              	 7.00000000              	-4.87415186              	 1.33612823e-5           	 1.00000000e-3           	 2.17667811e-4           	 1.00000000e-3           	 1.88737914e-15          	 2.99793174              	 4.56928388e-7           	 3.34946694e-6           	 2.73689947e-10          	 2.17667811e-4           	 9.99453870e-4           	 9.99218214e-1           	 1.00000000              	 9.99218214e-1           	 7.81786060e-4           	 7.81786060e-4           	 0.0                     	
 1.00000000e-3           	 0.0                     	 1.00000000              	 2.00000000              	-1.87640701              	 1.32920814e-2           	 1.00000000e-3           	 4.56698872e-4           	 1.00000000e-3           	-6.99643721              	 3.00802458              	 4.54561859e-4           	 3.33280723e-8           	 2.68919494e-17          	 4.56698872e-4           	 4.56698872e-4           	 1.00000000              	 1.00000000              	 1.00000000              	 0.0                     	 0.0                     	 0.0                     	
 1.00000000e-3           	 0.0                     	 1.00000000              	 2.50000000              	-1.87839133              	 1.32314875e-2           	 1.00000000e-3           	 4.59175592e-4           	 1.00000000e-3           	-6.00108719              	 3.00302950              	 4.52489671e-4           	 1.04901465e-7           	 2.69340507e-16          	 4.59175592e-4           	 4.59175592e-4           	 1.00000000              	 1.00000000              	 1.00000000              	 0.0                     	 0.0                     	 0.0                     	
 1.00000000e-3           	 0.0                     	 1.00000000              	 3.00000000              	-1.88460697              	 1.30434667e-2           	 1.00000000e-3           	 4.66860761e-4           	 1.00000000e-3           	-5.00816604              	 3.00142179              	 4.46059748e-4           	 3.27002920e-7           	 2.66037722e-15          	 4.66860761e-4           	 4.66860761e-4           	 1.00000000              	 1.00000000              	 1.00000000              	 0.0                     	 0.0                     	 0.0                     	
 1.00000000e-3           	 0.0                     	 1.00000000              	 3.50000000              	-1.90369344              	 1.24826432e-2           	 1.00000000e-3           	 4.89783884e-4           	 1.00000000e-3           	-4.02758123              	 3.00083899              	 4.26880738e-4           	 9.89600657e-7           	 2.54781246e-14          	 4.89783884e-4           	 4.89783884e-4           	 1.00000000              	 1.00000000              	 1.00000000              	 0.0                     	 0.0                     	 0.0                     	
 1.00000000e-3           	 0.0                     	 1.00000000              	 4.00000000              	-1.95903488              	 1.09891758e-2           	 1.00000000e-3           	 5.50827940e-4           	 1.00000000e-3           	-3.08317255              	 3.00046019              	 3.75807221e-4           	 2.75495918e-6           	 2.24402642e-13          	 5.50827940e-4           	 5.50827940e-4           	 1.00000000              	 1.00000000              	 1.00000000              	 0.0                     	 0.0                     	 0.0                     	
 1.00000000e-3           	 0.0                     	 1.00000000              	 4.50000000              	-2.09828904              	 7.97463758e-3           	 1.00000000e-3           	 6.74044308e-4           	 1.00000000e-3           	-2.22278762              	 2.99996473              	 2.72716212e-4           	 6.32203066e-6           	 1.62943836e-12          	 6.74044308e-4           	 6.74044308e-4           	 1.00000000              	 1.00000000              	 1.00000000              	 0.0                     	 0.0                     	 0.0                     	
 1.00000000e-3           	 0.0                     	 1.00000000              	 5.00000000              	-2.36938219              	 4.27186782e-3           	 1.00000000e-3           	 8.25391485e-4           	 1.00000000e-3           	-1.49429990              	 2.99940157              	 1.46089098e-4           	 1.07092348e-5           	 8.73463980e-12          	 8.25391485e-4           	 8.25391485e-4           	 1.00000000              	 1.00000000              	 1.00000000              	 0.0                     	 0.0                     	 0.0                     	
 1.00000000e-3           	 0.0                     	 1.00000000              	 5.50000000              	-2.76183078              	 1.73049052e-3           	 1.00000000e-3           	 9.29267853e-4           	 1.00000000e-3           	-8.87033545e-1           	 2.99902011              	 5.91792184e-5           	 1.37184949e-5           	 3.53997152e-11          	 9.29267853e-4           	 9.29267853e-4           	 1.00000000              	 1.00000000              	 1.00000000              	 0.0                     	 0.0                     	 0.0                     	
