        soln	          pH	        temp	         Alk	          mu	      charge	     pct_err	        C(4)	          Ca	      m_Ca+2	     m_HCO3-	     m_CO3-2	      CO2(g)	    d_CO2(g)	     Calcite	   d_Calcite	   si_CO2(g)	  si_Calcite	
           1	        7.32	      24.300	  0.00464621	   0.0158173	 0.000228116	     1.23412	  5.0517e-03	  4.1201e-03	  3.4662e-03	  4.4549e-03	  6.1796e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -1.9079	      0.3865	
           2	        7.23	      24.600	   0.0046748	   0.0162009	 0.000349025	     1.84937	  5.1830e-03	  4.1951e-03	  3.5248e-03	  4.4850e-03	  5.1069e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -1.8136	      0.3087	
           3	         7.2	      24.700	  0.00462556	   0.0161979	 0.000118131	    0.625946	  5.1666e-03	  4.2201e-03	  3.5378e-03	  4.4414e-03	  4.7295e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -1.7872	      0.2777	
           4	        7.24	      24.300	  0.00459445	   0.0159198	 0.000402671	     2.17323	  5.0845e-03	  4.1950e-03	  3.5355e-03	  4.4092e-03	  5.0920e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -1.8325	      0.3099	
           5	        7.43	      23.600	    0.004832	   0.0160868	 4.30898e-06	    0.022943	  5.1501e-03	  4.1950e-03	  3.5210e-03	  4.6207e-03	  8.1552e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -2.0067	      0.5065	
           6	        7.79	      21.400	    0.005019	    0.016064	-0.000231436	    -1.22807	  5.1173e-03	  4.1451e-03	  3.4677e-03	  4.7443e-03	  1.8269e-05	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -2.3687	      0.8375	
           7	        8.06	      20.500	  0.00512439	   0.0159236	-0.000388173	    -2.07457	  5.1009e-03	  4.0951e-03	  3.4051e-03	  4.7561e-03	  3.3362e-05	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -2.6429	      1.0877	
           8	        8.27	      19.700	  0.00466473	   0.0155746	-0.000163147	    -0.90157	  4.5595e-03	  3.9951e-03	  3.3036e-03	  4.2312e-03	  4.7090e-05	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -2.9080	      1.2239	
           9	        8.28	      19.600	  0.00458337	   0.0153548	-0.000200803	    -1.12692	  4.4774e-03	  3.9201e-03	  3.2440e-03	  4.1562e-03	  4.7123e-05	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -2.9260	      1.2181	
          10	        8.37	      18.400	  0.00446269	    0.015074	-0.000354285	    -2.02871	  4.3297e-03	  3.7703e-03	  3.1112e-03	  4.0102e-03	  5.4203e-05	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -3.0382	      1.2580	
          11	        8.25	      14.400	  0.00348307	   0.0128093	-0.000477336	    -3.23364	  3.4437e-03	  3.0458e-03	  2.5802e-03	  3.2446e-03	  2.9363e-05	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -3.0296	      0.9200	
           5	     7.77915	      23.600	  0.00475523	   0.0159397	 4.30898e-06	   0.0232126	  4.8441e-03	  4.1567e-03	  3.4720e-03	  4.4841e-03	  1.7659e-05	  1.0000e+01	  2.6766e-04	  3.8382e-05	  3.8382e-05	     -2.3687	      0.8375	
           5	     8.23276	      14.400	  0.00337974	   0.0143703	 4.30898e-06	   0.0264588	  3.3404e-03	  3.4689e-03	  2.9107e-03	  3.1349e-03	  2.7706e-05	  1.0001e+01	  1.0836e-03	  7.2611e-04	  7.2611e-04	     -3.0296	      0.9286	
           1	     7.98868	      24.300	 0.000727001	   0.0108271	 0.000228116	     1.97582	  7.2893e-04	  2.1604e-03	  1.8098e-03	  6.8833e-04	  4.2236e-06	  1.0002e+01	  2.3631e-03	  1.9596e-03	  1.9596e-03	     -3.3800	      0.0000	
           5	     7.99362	      23.600	 0.000742529	    0.010895	 4.30898e-06	   0.0372673	  7.4467e-04	  2.1502e-03	  1.7978e-03	  7.0344e-04	  4.3048e-06	  1.0002e+01	  2.3607e-03	  2.0447e-03	  2.0447e-03	     -3.3800	      0.0000	
          11	     8.06815	      14.400	 0.000982044	  0.00967473	-0.000477336	    -4.56949	  9.8842e-04	  1.7953e-03	  1.5299e-03	  9.4117e-04	  5.4031e-06	  1.0001e+01	  1.2047e-03	  1.2505e-03	  1.2505e-03	     -3.3800	      0.0000	
