@class: format(){
    //Output_at: (time, from:, 0, to:, 10, steps:, 100 )
  // @PHREEQCOutput: chemistry1.inp

//Var: 	 I                       	 I.calc                  	 Ca+2.logact             	 F-.logact               	 Na+.logact              	 SO4-2.logact            	 SO4-2.logact            	 Fluorite[s].con         	 Gypsum[s].con           	
//Data:	 0.0                     	 2.36358748e-2           	-2.39320814              	-4.10339593              	-3.00000000              	-2.18679186              	-2.18679186              	 2.46059294e-3           	 3.49558661e-3           	

}

@format()

// The column headers in this file can be edited and determine the output for the next run.
Var: 	pH                       	chargebalance            	Ca+2.tot                 	Cl-.tot                  	HCO3-.tot                	K+.tot                   	Mg+2.tot                 	SO4-2.tot                	F-.tot                   	CO2[g].tot               	chargebalance            	CO2[g].diss              	CO2[g].logact            	Calcite[s].si            	Ca.logact                	Ca.tot                   	H.tot                    	H2O.logact               	I                        	Node_ID                  	T                        	dummy                    	minTol                   	pH                       	pe                       	
Data:	 6.95042681              	 0.0                     	 4.12500000e-3           	 9.56521739e-5           	 5.04918033e-3           	 3.64102564e-4           	 1.05833333e-3           	 2.94791667e-3           	 5.26315789e-5           	 0.0                     	 0.0                     	 0.0                     	-1.60876268              	 1.33226763e-15          	-2.61601795              	 0.0                     	 1.40789053e-4           	 0.0                     	 0.0                     	 0.0                     	 2.97450000e2            	 1.11111111e-111         	 0.0                     	 6.95042681              	 7.00000000              	
Data:	 6.93955490              	 0.0                     	 4.20000000e-3           	 1.01449275e-4           	 5.18032787e-3           	 3.79487179e-4           	 1.16666667e-3           	 3.03125000e-3           	 5.78947368e-5           	 0.0                     	 0.0                     	 0.0                     	-1.59015241              	 0.0                     	-2.61549060              	 0.0                     	 1.19786151e-4           	 0.0                     	 0.0                     	 0.0                     	 2.97750000e2            	 1.11111111e-111         	 0.0                     	 6.93955490              	 7.00000000              	
Data:	 6.90568322              	 0.0                     	 4.22500000e-3           	 1.68115942e-4           	 5.16393443e-3           	 3.66666667e-4           	 1.09166667e-3           	 3.08333333e-3           	 5.78947368e-5           	 0.0                     	 0.0                     	 0.0                     	-1.54722116              	 0.0                     	-2.59154606              	 0.0                     	 3.87046554e-4           	 0.0                     	 0.0                     	 0.0                     	 2.97850000e2            	 1.11111111e-111         	 0.0                     	 6.90568322              	 7.00000000              	
Data:	 6.95405250              	 0.0                     	 4.20000000e-3           	 9.27536232e-5           	 5.08196721e-3           	 3.64102564e-4           	 1.08333333e-3           	 2.94791667e-3           	 5.78947368e-5           	 0.0                     	 0.0                     	 0.0                     	-1.61614656              	 4.44089210e-16          	-2.61588545              	 0.0                     	 4.98535888e-5           	 0.0                     	 0.0                     	 0.0                     	 2.97450000e2            	 1.11111111e-111         	 0.0                     	 6.95405250              	 7.00000000              	
Data:	 6.93231482              	 0.0                     	 4.20000000e-3           	 1.01449275e-4           	 5.14754098e-3           	 3.30769231e-4           	 1.09166667e-3           	 3.00000000e-3           	 6.31578947e-5           	 0.0                     	 0.0                     	 0.0                     	-1.58366478              	 0.0                     	-2.59879024              	 0.0                     	 2.76306459e-4           	 0.0                     	 0.0                     	 0.0                     	 2.96750000e2            	 1.11111111e-111         	 0.0                     	 6.93231482              	 7.00000000              	
Data:	 6.96129594              	 0.0                     	 4.15000000e-3           	 9.85507246e-5           	 5.11475410e-3           	 3.56410256e-4           	 1.06666667e-3           	 2.97916667e-3           	 6.31578947e-5           	 0.0                     	 0.0                     	 0.0                     	-1.62240561              	 0.0                     	-2.59864627              	 0.0                     	 2.92878548e-4           	 0.0                     	 0.0                     	 0.0                     	 2.94550000e2            	 1.11111111e-111         	 0.0                     	 6.96129594              	 7.00000000              	
Data:	 6.97180393              	 0.0                     	 4.10000000e-3           	 1.01449275e-4           	 5.09836066e-3           	 3.58974359e-4           	 1.05000000e-3           	 2.94791667e-3           	 5.26315789e-5           	 0.0                     	 0.0                     	 0.0                     	-1.63538962              	-4.44089210e-16          	-2.59867241              	 0.0                     	 3.28430919e-4           	 0.0                     	 0.0                     	 0.0                     	 2.93650000e2            	 1.11111111e-111         	 0.0                     	 6.97180393              	 7.00000000              	
Data:	 7.05646243              	 0.0                     	 4.00000000e-3           	 1.10144928e-4           	 4.55737705e-3           	 3.66666667e-4           	 1.06666667e-3           	 2.97916667e-3           	 5.26315789e-5           	 0.0                     	 0.0                     	 0.0                     	-1.77391948              	 4.44089210e-16          	-2.62230193              	 0.0                     	 2.19651499e-5           	 0.0                     	 0.0                     	 0.0                     	 2.92850000e2            	 1.11111111e-111         	 0.0                     	 7.05646243              	 7.00000000              	
Data:	 7.06279521              	 0.0                     	 3.92500000e-3           	 9.85507246e-5           	 4.47540984e-3           	 3.58974359e-4           	 1.06250000e-3           	 2.94791667e-3           	 5.78947368e-5           	 0.0                     	 0.0                     	 0.0                     	-1.78348697              	 4.44089210e-16          	-2.62450256              	 0.0                     	 5.89316632e-5           	 0.0                     	 0.0                     	 0.0                     	 2.92750000e2            	 1.11111111e-111         	 0.0                     	 7.06279521              	 7.00000000              	
Data:	 7.08102624              	 0.0                     	 3.77500000e-3           	 9.85507246e-5           	 4.32786885e-3           	 3.66666667e-4           	 1.06666667e-3           	 2.94791667e-3           	 5.26315789e-5           	 0.0                     	 0.0                     	 0.0                     	-1.80837293              	-8.88178420e-16          	-2.62526123              	 0.0                     	 1.85754055e-4           	 0.0                     	 0.0                     	 0.0                     	 2.91550000e2            	 1.11111111e-111         	 0.0                     	 7.08102624              	 7.00000000              	
Data:	 7.21375640              	 0.0                     	 3.05000000e-3           	 1.15942029e-4           	 3.44262295e-3           	 2.92307692e-4           	 8.87500000e-4           	 2.56250000e-3           	 3.68421053e-5           	 0.0                     	 0.0                     	 0.0                     	-2.00769073              	 0.0                     	-2.65469355              	 0.0                     	 4.09621132e-4           	 0.0                     	 0.0                     	 0.0                     	 2.87550000e2            	 1.11111111e-111         	 0.0                     	 7.21375640              	 7.00000000              	
