@class: format(){
    //Output_at: (time, from:, 0, to:, 10, steps:, 100 )
  // @PHREEQCOutput: chemistry1.inp

//Var: 	 I                       	 I.calc                  	 Ca+2.logact             	 F-.logact               	 Na+.logact              	 SO4-2.logact            	 SO4-2.logact            	 Fluorite[s].con         	 Gypsum[s].con           	
//Data:	 0.0                     	 2.36358748e-2           	-2.39320814              	-4.10339593              	-3.00000000              	-2.18679186              	-2.18679186              	 2.46059294e-3           	 3.49558661e-3           	

}

@format()

// The column headers in this file can be edited and determine the output for the next run.
Var: 	pH                       	CO2[g].con               	Calcite[s].si            	Calcite[s].con           	Anhydrite[s].si          	Antarcticite[s].si       	Aragonite[s].si          	Arcanite[s].si           	Artinite[s].si           	Bassanite[s].si          	Bischofite[s].si         	Bloedite[s].si           	Brucite[s].si            	Burkeite[s].si           	Ca2Cl2[OH]2:H2O[s].si    	Ca4Cl2[OH]6:13H2O[s].si  	CaCO3:H2O[s].si          	CaCl2:2H2O[cr][s].si     	CaCl2:4H2O[cr][s].si     	CaCl2:H2O[s].si          	CaF2:6H2O[s].si          	CaMg3[CO3]4[s].si        	CaO[cr][s].si            	Calcite[s].si            	Carnallite[s].si         	Dolomite[s].si           	Epsonite[s].si           	Fluorite[s].si           	Gaylussite[s].si         	Glaserite[s].si          	Glauberite[s].si         	Gypsum[s].si             	Halite[s].si             	Hexahydrite[s].si        	Hydrophilite[s].si       	K-carbonate[s].si        	K-trona[s].si            	K2CO3[cr][s].si          	K2O[s].si                	K[OH][s].si              	Kainite[s].si            	Kalicinite[s].si         	Lansfordite[s].si        	Leonhardtite[s].si       	Leonite[s].si            	Magnesite[nat][s].si     	Magnesite[syn][s].si     	Mercallite[s].si         	Mg-oxychlorur[s].si      	Mg5[CO3]4[OH]2:4H2O[s].si  	MgCl2:2H2O[s].si         	MgCl2:4H2O[s].si         	MgCl2:H2O[s].si          	MgCl2[s].si              	MgF2[cr][s].si           	Mg[SO4]:H2O[s].si        	Mg[SO4][s].si            	Mirabilite[s].si         	Na2CO3:7H2O[s].si        	Na2O[cr][s].si           	Na2[CO3][cr][s].si       	NaF[s].si                	Nahcolite[s].si          	Natron[s].si             	Nesquehonite[s].si       	Pentahydrite[s].si       	Periclase[s].si          	Picromerite[s].si        	Pirssonite[s].si         	Polyhalite[s].si         	Portlandite[s].si        	Sylvite[s].si            	Syngenite[s].si          	Tachyhydrite[s].si       	Thenardite[s].si         	Thermonatrite[s].si      	Trona[s].si              	Vaterite[s].si           	
Data:	 6.95042681              	 2.46171241e-2           	 1.33226763e-15          	 7.01275981e-4           	-9.24727937e-1           	-14.5903885              	-1.69931560e-1           	-7.75893822              	-8.02727967              	-1.44448799              	-15.6087147              	-13.5476209              	-6.35119834              	-32.5022561              	-25.9013207              	-45.6437625              	-8.78000409e-1           	-18.6246227              	-16.0108194              	-18.5276613              	-5.75208450              	-4.60570437              	-21.4951109              	 1.33226763e-15          	-22.9301189              	-3.25036201e-1           	-3.96176781              	-6.23994198e-1           	-12.2024118              	-31.2656135              	-17.3840792              	-7.47764411e-1           	-9.26354799              	-4.20820567              	-22.4597000              	-15.7676459              	-20.1021907              	-18.1602660              	-77.2627207              	-21.0883495              	-13.1204834              	-6.17439721              	-3.92339734              	-4.96620610              	-11.4788611              	-6.46032994e-2           	-8.76516311e-1           	-11.7307599              	-15.4725360              	-14.8493333                	-24.0451237              	-18.5851237              	-27.3651237              	-33.2409000              	-2.50661771              	-5.74751678              	-14.9935263              	-8.78855718              	-12.6920148              	-61.0141603              	-14.3006242              	-7.48303751              	-5.71125186              	-12.3128670              	-3.87383232              	-4.57214796              	-10.8464818              	-11.1213587              	-12.7312843              	-12.4398280              	-11.5788057              	-8.32164695              	-7.52619760              	-50.3264038              	-9.69222906              	-13.6545760              	-18.2385840              	-5.81776957e-1           	
Data:	 6.93955490              	 2.56949388e-2           	 0.0                     	 7.52287256e-4           	-9.12799235e-1           	-14.5413741              	-1.69960931e-1           	-7.71902480              	-7.95073139              	-1.43266226              	-15.5162816              	-13.7242642              	-6.31281391              	-33.1872903              	-25.8710475              	-45.6078092              	-8.78858528e-1           	-18.5652082              	-15.9573285              	-18.4669428              	-5.67294902              	-4.47513680              	-21.4820185              	 0.0                     	-22.7974246              	-2.83029392e-1           	-3.91555538              	-5.48330649e-1           	-12.4452270              	-31.3717563              	-17.5977965              	-7.38824087e-1           	-9.35523517              	-4.15923045              	-22.3938152              	-15.7338953              	-20.1766985              	-18.1210995              	-77.1729785              	-21.0812480              	-13.0265807              	-6.15414205              	-3.88638532              	-4.91379751              	-11.3892355              	-2.27822695e-2           	-8.33874317e-1           	-11.6935830              	-15.3724416              	-14.6394927                	-23.9542316              	-18.4942316              	-27.2742316              	-33.1217802              	-2.38569128              	-5.69025425              	-14.9251019              	-9.02741835              	-12.9350004              	-61.2067029              	-14.5313322              	-7.56024716              	-5.82521485              	-12.5597783              	-3.83234216              	-4.52148091              	-10.8015385              	-11.0349527              	-12.9702919              	-12.3299880              	-11.5770022              	-8.28128163              	-7.47326911              	-50.0931299              	-9.91664004              	-13.8878795              	-18.5889592              	-5.81014381e-1           	
Data:	 6.90568322              	 2.83647422e-2           	 0.0                     	 5.74089059e-4           	-8.85336232e-1           	-14.0794224              	-1.69970708e-1           	-7.74783258              	-8.09565284              	-1.40523353              	-15.1067100              	-13.7491421              	-6.40360600              	-33.2070238              	-25.4520707              	-45.2604139              	-8.79144183e-1           	-18.0997946              	-15.4938868              	-18.0010951              	-5.64718906              	-4.63217340              	-21.5143964              	 0.0                     	-22.1844262              	-3.35879484e-1           	-3.94351336              	-5.23726444e-1           	-12.4722833              	-31.4561073              	-17.5681822              	-7.12355872e-1           	-9.13605206              	-4.18626874              	-21.9262476              	-15.7882467              	-20.2218327              	-18.1736481              	-77.2454273              	-21.1300454              	-12.8486388              	-6.16182457              	-3.94089810              	-4.93969289              	-11.4448363              	-7.56942038e-2           	-8.86512965e-1           	-11.6721404              	-15.3050752              	-14.9405437                	-23.5451731              	-18.0851731              	-26.8651731              	-32.7033251              	-2.41285327              	-5.71453381              	-14.9456658              	-9.02966622              	-12.9621133              	-61.2537602              	-14.5543580              	-7.55935395              	-5.81789668              	-12.5881981              	-3.88536423              	-4.54795602              	-10.8901473              	-11.0916253              	-12.9960806              	-12.3318755              	-11.6131379              	-8.07782012              	-7.47425226              	-48.8122372              	-9.91407765              	-13.9117694              	-18.6065657              	-5.80760530e-1           	
Data:	 6.95405250              	 2.42021216e-2           	 4.44089210e-16          	 7.77858663e-4           	-9.25489449e-1           	-14.6170207              	-1.69931560e-1           	-7.75983223              	-7.99946212              	-1.44524950              	-15.6251302              	-13.8912293              	-6.33359762              	-33.5606859              	-25.9205691              	-45.6482432              	-8.78000409e-1           	-18.6512550              	-16.0374516              	-18.5542935              	-5.67010771              	-4.57505386              	-21.4877270              	 4.44089210e-16          	-22.9599166              	-3.14819364e-1           	-3.95231249              	-5.42017401e-1           	-12.5547141              	-31.6213593              	-17.7379045              	-7.48525924e-1           	-9.45301525              	-4.19875035              	-22.4863323              	-15.7677784              	-20.2821663              	-18.1603985              	-77.2554693              	-21.0847238              	-13.1244105              	-6.17815540              	-3.91318050              	-4.95675078              	-11.4702998              	-5.43864626e-2           	-8.66299474e-1           	-11.7352796              	-15.4543427              	-14.7908652                	-24.0615391              	-18.6015391              	-27.3815391              	-33.2573154              	-2.41442408              	-5.73806146              	-14.9840710              	-9.14162096              	-13.0443171              	-61.3590787              	-14.6529265              	-7.61820025              	-5.89109493              	-12.6651693              	-3.86361549              	-4.56269264              	-10.8288811              	-11.1127974              	-13.0835865              	-12.4327897              	-11.5714219              	-8.33502932              	-7.52785312              	-50.3858669              	-10.0452928              	-14.0068782              	-18.7707293              	-5.81776957e-1           	
Data:	 6.93231482              	 2.60816592e-2           	 0.0                     	 6.33533417e-4           	-9.12936255e-1           	-14.5163068              	-1.69862798e-1           	-7.83036549              	-8.09891371              	-1.43245522              	-15.5481605              	-14.0514156              	-6.42160766              	-34.0737602              	-25.8520304              	-45.7451069              	-8.75991384e-1           	-18.5748896              	-15.9472178              	-18.4809810              	-5.57755800              	-4.64701563              	-21.5944309              	 0.0                     	-22.8782573              	-3.35258033e-1           	-3.94211674              	-4.41339222e-1           	-12.7188478              	-31.9962536              	-17.8892009              	-7.28976351e-1           	-9.49693027              	-4.19502283              	-22.4251154              	-15.8643638              	-20.4535775              	-18.2696636              	-77.5591941              	-21.1481601              	-13.1269183              	-6.19633502              	-3.92192541              	-4.96106143              	-11.5388308              	-7.43901886e-2           	-8.88225236e-1           	-11.7525956              	-15.5392134              	-14.9686577                	-23.9809615              	-18.5209615              	-27.3009615              	-33.2428243              	-2.34180768              	-5.75373615              	-15.0258779              	-9.27453117              	-13.2080518              	-61.7169625              	-14.8454056              	-7.66483247              	-5.95256502              	-12.8197130              	-3.88284460              	-4.56292600              	-10.9322467              	-11.1737906              	-13.2566345              	-12.4676853              	-11.6516965              	-8.33058367              	-7.58837657              	-50.1297928              	-10.2120338              	-14.1932806              	-19.0113237              	-5.83562296e-1           	
Data:	 6.96129594              	 2.38558221e-2           	 0.0                     	 5.90400068e-4           	-9.36400790e-1           	-14.5229268              	-1.69644559e-1           	-7.73388056              	-8.19863341              	-1.45515461              	-15.5930958              	-13.8660462              	-6.52205830              	-33.4787584              	-25.8189367              	-45.9533042              	-8.69615139e-1           	-18.6587870              	-15.9870994              	-18.5745677              	-5.57420903              	-4.76427551              	-21.7912561              	 0.0                     	-22.8796169              	-3.63082152e-1           	-3.93601920              	-4.12192100e-1           	-12.4564390              	-31.5050327              	-17.7126610              	-7.30235781e-1           	-9.40777250              	-4.20945417              	-22.5570910              	-15.7872575              	-20.2932007              	-18.2327999              	-77.9976752              	-21.0867539              	-13.1324475              	-6.13312461              	-3.91263584              	-5.00100431              	-11.4622529              	-1.00833883e-1           	-9.20769090e-1           	-11.7499503              	-15.6848734              	-15.2058835                	-24.0144459              	-18.5544459              	-27.3344459              	-33.4860542              	-2.36467891              	-5.82974622              	-15.1848265              	-8.97633120              	-12.9443770              	-61.9276464              	-14.6729597              	-7.56635834              	-5.82690641              	-12.5268678              	-3.90682982              	-4.58992840              	-11.0814329              	-11.0732893              	-13.0225178              	-12.4109670              	-11.7646406              	-8.28778232              	-7.52342837              	-50.2217740              	-10.0212058              	-14.0015482              	-18.6708335              	-5.89228608e-1           	
Data:	 6.97180393              	 2.31531658e-2           	-4.44089210e-16          	 5.50263778e-4           	-9.49357479e-1           	-14.4901555              	-1.69554338e-1           	-7.71774654              	-8.24640939              	-1.46779498              	-15.5779240              	-13.8294631              	-6.56837692              	-33.3346265              	-25.7727792              	-46.0129625              	-8.66979139e-1           	-18.6579630              	-15.9680788              	-18.5777494              	-5.73116026              	-4.81803049              	-21.8756574              	-4.44089210e-16          	-22.8389253              	-3.76344448e-1           	-3.93851418              	-5.58478123e-1           	-12.3797350              	-31.4082532              	-17.6779685              	-7.34012666e-1           	-9.36904903              	-4.22043598              	-22.5761430              	-15.7758785              	-20.2617703              	-18.2380576              	-78.2024769              	-21.0731326              	-13.1322439              	-6.11572569              	-3.91055498              	-5.02253285              	-11.4593644              	-1.13525499e-1           	-9.35982570e-1           	-11.7608458              	-15.7354034              	-15.3157845                	-23.9945402              	-18.5345402              	-27.3145402              	-33.5528594              	-2.53422936              	-5.86618528              	-15.2555531              	-8.88808709              	-12.8671496              	-62.0495554              	-14.6334473              	-7.62070525              	-5.78933121              	-12.4375812              	-3.91850508              	-4.60610721              	-11.1478993              	-11.0605106              	-12.9575101              	-12.4228011              	-11.8143646              	-8.26258261              	-7.52358817              	-50.1567950              	-9.97735033              	-13.9540625              	-18.5762233              	-5.91571116e-1           	
Data:	 7.05646243              	 1.68298607e-2           	 4.44089210e-16          	 6.28864990e-4           	-9.69640485e-1           	-14.4355807              	-1.69473675e-1           	-7.67556565              	-8.09335227              	-1.48779518              	-15.5046591              	-13.8228700              	-6.44844168              	-33.3525854              	-25.5793149              	-45.6602596              	-8.64622426e-1           	-18.6319506              	-15.9257977              	-18.5553181              	-5.75361020              	-4.76281558              	-21.8241947              	 4.44089210e-16          	-22.7119789              	-3.53776761e-1           	-3.91501908              	-5.71392846e-1           	-12.3542985              	-31.2902983              	-17.7074905              	-7.46088478e-1           	-9.34336074              	-4.20452852              	-22.5679006              	-15.7292498              	-20.2822456              	-18.2063029              	-78.2222027              	-20.9792661              	-13.0754706              	-6.14540327              	-3.87426977              	-5.01605468              	-11.4032999              	-9.04475958e-2           	-9.15159337e-1           	-11.8245190              	-15.5087100              	-15.1149956                	-23.9170429              	-18.4570429              	-27.2370429              	-33.5528858              	-2.53351878              	-5.87303785              	-15.2930605              	-8.86103217              	-12.8412452              	-62.0747670              	-14.6412618              	-7.63192825              	-5.84076819              	-12.4008952              	-3.89451851              	-4.59484613              	-11.0459771              	-10.9956038              	-12.9425305              	-12.3972975              	-11.7318988              	-8.20918726              	-7.50467383              	-49.9540236              	-9.98998101              	-13.9547486              	-18.6198088              	-5.93665432e-1           	
Data:	 7.06279521              	 1.64631534e-2           	 4.44089210e-16          	 5.79321225e-4           	-9.76696624e-1           	-14.5335358              	-1.69463561e-1           	-7.69627703              	-8.08659371              	-1.49481586              	-15.6025860              	-13.9610604              	-6.44352087              	-33.7468911              	-25.6676575              	-45.7442401              	-8.64326931e-1           	-18.7334870              	-16.0252943              	-18.6573036              	-5.67276995              	-4.76283812              	-21.8255441              	 4.44089210e-16          	-22.8663176              	-3.53262336e-1           	-3.91890134              	-4.89357031e-1           	-12.4787851              	-31.4856982              	-17.8478940              	-7.52115564e-1           	-9.45637682              	-4.20936216              	-22.6716652              	-15.7448905              	-20.3662371              	-18.2238086              	-78.2539652              	-20.9821414              	-13.1383229              	-6.15596700              	-3.87203538              	-5.02207059              	-11.4290986              	-8.98691971e-2           	-9.14863639e-1           	-11.8438583              	-15.5490185              	-15.1091979                	-24.0144391              	-18.5544391              	-27.3344391              	-33.6600023              	-2.45208978              	-5.88072523              	-15.3045915              	-8.98982887              	-12.9656732              	-62.2134062              	-14.7699176              	-7.65534588              	-5.90715459              	-12.5239713              	-3.89382618              	-4.60026234              	-11.0433148              	-11.0202939              	-13.0683283              	-12.4359541              	-11.7293608              	-8.26563493              	-7.53281544              	-50.2476237              	-10.1237537              	-14.0825106              	-18.8128867              	-5.93928027e-1           	
Data:	 7.08102624              	 1.55463008e-2           	-8.88178420e-16          	 4.37232206e-4           	-9.89338409e-1           	-14.5240341              	-1.69341654e-1           	-7.65888544              	-8.12309530              	-1.50703023              	-15.6065091              	-13.9284480              	-6.48840878              	-33.6531238              	-25.6327264              	-45.8376024              	-8.60765182e-1           	-18.7671522              	-16.0343724              	-18.6963811              	-5.75524267              	-4.80440503              	-21.9322445              	-8.88178420e-16          	-22.8477846              	-3.60826776e-1           	-3.90705182              	-5.57418987e-1           	-12.4120477              	-31.3401953              	-17.8281917              	-7.52353650e-1           	-9.43989538              	-4.20898000              	-22.7321867              	-15.7187891              	-20.3351655              	-18.2201866              	-78.5126239              	-20.9547023              	-13.1348532              	-6.13076561              	-3.85886824              	-5.03593911              	-11.3943836              	-9.66625369e-2           	-9.25064507e-1           	-11.8520229              	-15.6029597              	-15.1985758                	-24.0119657              	-18.5519657              	-27.3319657              	-33.7746921              	-2.54123099              	-5.91474076              	-15.3849362              	-8.90263315              	-12.8982285              	-62.4076913              	-14.7534331              	-7.68243189              	-5.87850644              	-12.4402322              	-3.89924623              	-4.60690234              	-11.1154262              	-10.9722153              	-13.0173947              	-12.4114017              	-11.7892055              	-8.24361142              	-7.51257473              	-50.2434491              	-10.0965356              	-14.0552527              	-18.7440776              	-5.97093210e-1           	
