@class: format(){
    //Output_at: (time, from:, 0, to:, 10, steps:, 100 )
  // @PHREEQCOutput: chemistry1.inp

//Var: 	 I                       	 I.calc                  	 Ca+2.logact             	 F-.logact               	 Na+.logact              	 SO4-2.logact            	 SO4-2.logact            	 Fluorite[s].con         	 Gypsum[s].con           	
//Data:	 0.0                     	 2.36358748e-2           	-2.39320814              	-4.10339593              	-3.00000000              	-2.18679186              	-2.18679186              	 2.46059294e-3           	 3.49558661e-3           	

}

@format()

// The column headers in this file can be edited and determine the output for the next run.
Var: 	pH                       	chargebalance            	Ca+2.tot                 	HCO3-.tot                	SO4-2.tot                	Ca+2.con                 	HCO3-.con                	CO3-2.con                	CO2[g].con               	
Data:	 7.32000000              	-1.54103016e-3           	 4.11680000e-3           	 5.04750000e-3           	 2.94580000e-3           	 2.02054691e-3           	 3.03272570e-3           	 4.11045874e-6           	 8.43331742e-3           	
Data:	 7.23000000              	-1.16824180e-3           	 4.19160000e-3           	 5.17860000e-3           	 3.02900000e-3           	 2.29455735e-3           	 3.30943092e-3           	 3.70671697e-6           	 1.13320247e-2           	
Data:	 7.20000000              	-1.27530830e-3           	 4.21660000e-3           	 5.16220000e-3           	 3.08110000e-3           	 2.41177343e-3           	 3.37740836e-3           	 3.54699819e-6           	 1.23989063e-2           	
Data:	 7.24000000              	-1.10842690e-3           	 4.19160000e-3           	 5.08030000e-3           	 2.94580000e-3           	 2.30516122e-3           	 3.23337376e-3           	 3.67067689e-6           	 1.07847528e-2           	
Data:	 7.43000000              	-2.18461127e-3           	 4.19160000e-3           	 5.14590000e-3           	 2.99780000e-3           	 1.72187372e-3           	 2.79669077e-3           	 4.78107541e-6           	 5.98901714e-3           	
Data:	 7.79000000              	-3.13391029e-3           	 4.14170000e-3           	 5.11310000e-3           	 2.97700000e-3           	 1.02786894e-3           	 2.13297691e-3           	 7.82592155e-6           	 1.94299023e-3           	
Data:	 8.06000000              	-3.60281204e-3           	 4.09180000e-3           	 5.09670000e-3           	 2.94580000e-3           	 6.71819271e-4           	 1.77373580e-3           	 1.17576981e-5           	 8.59409138e-4           	
Data:	 8.27000000              	-3.31300898e-3           	 3.99200000e-3           	 4.55590000e-3           	 2.97700000e-3           	 5.95084262e-4           	 1.26059403e-3           	 1.32706098e-5           	 3.72636599e-4           	
Data:	 8.28000000              	-3.28365975e-3           	 3.91720000e-3           	 4.47390000e-3           	 2.94580000e-3           	 5.89237383e-4           	 1.24563600e-3           	 1.33721798e-5           	 3.59455392e-4           	
Data:	 8.37000000              	-3.34198398e-3           	 3.76750000e-3           	 4.32650000e-3           	 2.94580000e-3           	 5.28304452e-4           	 1.17424560e-3           	 1.50936729e-5           	 2.70639572e-4           	
Data:	 8.25000000              	-2.57979223e-3           	 3.04390000e-3           	 3.44150000e-3           	 2.56060000e-3           	 7.41645973e-4           	 1.25410630e-3           	 1.11277152e-5           	 3.59283337e-4           	
Data:	 8.25000000              	-1.01571566e-3           	 3.05000000e-3           	 3.44260000e-3           	 2.56250000e-3           	 2.03568421e-3           	 2.67532624e-3           	 1.77716212e-5           	 5.96788358e-4           	
Data:	 6.98000000              	 4.02872520e-4           	 2.55000000e-3           	 3.83610000e-3           	 1.56250000e-3           	 2.24016402e-3           	 3.06558611e-3           	 1.68359038e-6           	 1.76857948e-2           	
Data:	 6.91000000              	 4.11930767e-4           	 2.62500000e-3           	 3.91800000e-3           	 1.65630000e-3           	 2.29660176e-3           	 3.03573529e-3           	 1.42413811e-6           	 2.05519577e-2           	
Data:	 6.89000000              	 4.08298357e-4           	 2.65000000e-3           	 3.93440000e-3           	 1.65630000e-3           	 2.31882472e-3           	 3.01921557e-3           	 1.35228072e-6           	 2.14053292e-2           	
Data:	 7.01000000              	 2.41901511e-4           	 2.57500000e-3           	 3.88520000e-3           	 1.64580000e-3           	 2.25105389e-3           	 3.13900557e-3           	 1.83334215e-6           	 1.67574224e-2           	
Data:	 7.19000000              	 9.55407873e-6           	 2.60000000e-3           	 3.88520000e-3           	 1.64580000e-3           	 2.26948978e-3           	 3.31548816e-3           	 2.78153495e-6           	 1.12552334e-2           	
Data:	 7.41000000              	-5.55401284e-4           	 2.60000000e-3           	 3.85250000e-3           	 1.66670000e-3           	 1.93103154e-3           	 3.12308248e-3           	 4.30940096e-6           	 6.40754513e-3           	
Data:	 7.83000000              	-1.93864885e-3           	 2.55000000e-3           	 3.83610000e-3           	 1.68750000e-3           	 9.66235973e-4           	 2.29030753e-3           	 7.96527073e-6           	 1.79180848e-3           	
Data:	 7.98000000              	-2.01165981e-3           	 2.50000000e-3           	 3.67210000e-3           	 1.68750000e-3           	 8.50912689e-4           	 2.07039611e-3           	 9.37569710e-6           	 1.08781905e-3           	
Data:	 7.92000000              	-1.87603338e-3           	 2.47500000e-3           	 3.60660000e-3           	 1.68750000e-3           	 9.40226647e-4           	 2.12254653e-3           	 8.48820363e-6           	 1.28932906e-3           	
Data:	 7.98000000              	-1.83595457e-3           	 2.42500000e-3           	 3.42620000e-3           	 1.70830000e-3           	 8.89240521e-4           	 1.94852201e-3           	 8.92986216e-6           	 1.03153724e-3           	
Data:	 8.08000000              	-1.56378653e-3           	 2.07500000e-3           	 3.00000000e-3           	 1.47920000e-3           	 8.23599759e-4           	 1.79643678e-3           	 9.69327088e-6           	 7.28917320e-4           	
Data:	 8.08000000              	-4.14657527e-4           	 2.07500000e-3           	 3.00000000e-3           	 1.47920000e-3           	 1.81760096e-3           	 2.83484835e-3           	 1.23062684e-5           	 9.46000444e-4           	
