pH                       	pressure                 	Cl-.tot                  	HSO3-.con                	SO3-2.con                	Na+.con                  	Na+.tot                  	SO3-2.tot                	OH-.con                  	chargebalance            	CO2[g].logact            	H2CO3.logact             	HCO3-.logact             	CO3-2.logact             	Ca+2.logact              	CO2[g].liter             	Calcite[s].si            	Calcite[s].tot           	CO2[g].tot               	HCO3-.con                	CO3-2.con                	CO3-2.diss               	CO3-2.tot                	Ca+2.diss                	Ca+2.tot                 	Ca+2.diss                	Calcite[s].tot           	Calcite[s].con           	Aragonite[s].con         	
 13.6048460              	 1.00000000              	 1.00000000e-20          	 1.11111111e-111         	 9.99999818e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 7.00000018e-1           	 0.0                     	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 12.8102367              	 1.00000000              	 1.00000000e-20          	 1.11111111e-111         	 9.99999108e-2           	 3.00000000e-1           	 3.00000000e-1           	 1.00000000e-1           	 1.00000089e-1           	 0.0                     	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 4.47414671              	 1.00000000              	 1.00000000e-20          	 1.11111111e-111         	 4.15730489e-4           	 1.00000000e-1           	 1.00000000e-1           	 1.00000000e-1           	 3.94318016e-10          	 0.0                     	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 1.74501552              	 1.00000000              	 1.00000000e-20          	 1.11111111e-111         	 1.92239053e-7           	 1.00000000e-2           	 1.00000000e-2           	 1.00000000e-1           	 6.65219514e-13          	 0.0                     	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.6048460              	 1.00000000              	 1.00000000e-20          	 1.11111111e-111         	 9.99999818e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 7.00000018e-1           	 0.0                     	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.6048460              	 1.00000000              	 1.00000000e-20          	 1.11111111e-111         	 9.99999818e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 7.00000018e-1           	 0.0                     	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.5919961              	 1.00000000              	 2.04081633e-2           	 1.11111111e-111         	 9.99999813e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 6.79591855e-1           	 0.0                     	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.5787544              	 1.00000000              	 4.08163265e-2           	 1.11111111e-111         	 9.99999807e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 6.59183693e-1           	 0.0                     	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.5650962              	 1.00000000              	 6.12244898e-2           	 1.11111111e-111         	 9.99999801e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 6.38775530e-1           	 0.0                     	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.5509945              	 1.00000000              	 8.16326531e-2           	 1.11111111e-111         	 9.99999794e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 6.18367367e-1           	 0.0                     	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.5364195              	 1.00000000              	 1.02040816e-1           	 1.11111111e-111         	 9.99999787e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 5.97959205e-1           	 0.0                     	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.5213383              	 1.00000000              	 1.22448980e-1           	 1.11111111e-111         	 9.99999780e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 5.77551042e-1           	 0.0                     	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.5057145              	 1.00000000              	 1.42857143e-1           	 1.11111111e-111         	 9.99999772e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 5.57142880e-1           	 0.0                     	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.4895076              	 1.00000000              	 1.63265306e-1           	 1.11111111e-111         	 9.99999763e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 5.36734718e-1           	 0.0                     	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.4726724              	 1.00000000              	 1.83673469e-1           	 1.11111111e-111         	 9.99999754e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 5.16326555e-1           	 0.0                     	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.4551581              	 1.00000000              	 2.04081633e-1           	 1.11111111e-111         	 9.99999744e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 4.95918393e-1           	 0.0                     	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.4369078              	 1.00000000              	 2.24489796e-1           	 1.11111111e-111         	 9.99999733e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 4.75510231e-1           	 0.0                     	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.4178567              	 1.00000000              	 2.44897959e-1           	 1.11111111e-111         	 9.99999721e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 4.55102069e-1           	 0.0                     	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.3979315              	 1.00000000              	 2.65306122e-1           	 1.11111111e-111         	 9.99999708e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 4.34693907e-1           	 0.0                     	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.3770479              	 1.00000000              	 2.85714286e-1           	 1.11111111e-111         	 9.99999693e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 4.14285745e-1           	 0.0                     	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.3551092              	 1.00000000              	 3.06122449e-1           	 1.11111111e-111         	 9.99999677e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 3.93877583e-1           	 0.0                     	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.3320030              	 1.00000000              	 3.26530612e-1           	 1.11111111e-111         	 9.99999660e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 3.73469422e-1           	 0.0                     	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.3075980              	 1.00000000              	 3.46938776e-1           	 1.11111111e-111         	 9.99999640e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 3.53061260e-1           	 0.0                     	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.2817395              	 1.00000000              	 3.67346939e-1           	 1.11111111e-111         	 9.99999618e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 3.32653099e-1           	 0.0                     	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
