@class: format(){
    //Output_at: (time, from:, 0, to:, 10, steps:, 100 )
  // @PHREEQCOutput: chemistry1.inp

//Var: 	 I                       	 I.calc                  	 Ca+2.logact             	 F-.logact               	 Na+.logact              	 SO4-2.logact            	 SO4-2.logact            	 Fluorite[s].con         	 Gypsum[s].con           	
//Data:	 0.0                     	 2.36358748e-2           	-2.39320814              	-4.10339593              	-3.00000000              	-2.18679186              	-2.18679186              	 2.46059294e-3           	 3.49558661e-3           	

}

@format()

// The column headers in this file can be edited and determine the output for the next run.
Var: 	pH                       	chargebalance            	Ca+2.tot                 	HCO3-.tot                	SO4-2.tot                	Ca+2.con                 	HCO3-.con                	CO3-2.con                	CO2[g].con               	
Data:	 8.00057234              	 0.0                     	 4.11680000e-3           	 7.28200642e-4           	 2.94580000e-3           	 1.69204431e-3           	 7.28127027e-4           	 4.62828221e-6           	 4.26579519e-4           	
Data:	 8.00101985              	 0.0                     	 4.19160000e-3           	 7.26650975e-4           	 3.02900000e-3           	 1.68736946e-3           	 7.26595029e-4           	 4.66802353e-6           	 4.26579519e-4           	
Data:	 7.98611085              	 0.0                     	 4.21660000e-3           	 7.01716251e-4           	 3.08110000e-3           	 1.81016851e-3           	 7.01662347e-4           	 4.37568491e-6           	 4.26579519e-4           	
Data:	 7.99923719              	 0.0                     	 4.19160000e-3           	 7.25995891e-4           	 2.94580000e-3           	 1.70299589e-3           	 7.25946968e-4           	 4.60130588e-6           	 4.26579519e-4           	
Data:	 7.99457976              	 0.0                     	 4.19160000e-3           	 7.26086617e-4           	 2.99780000e-3           	 1.76748723e-3           	 7.26046216e-4           	 4.49861125e-6           	 4.26579519e-4           	
Data:	 8.00333114              	 0.0                     	 4.14170000e-3           	 7.64867199e-4           	 2.97700000e-3           	 1.76604627e-3           	 7.64813280e-4           	 4.61861207e-6           	 4.26579519e-4           	
Data:	 8.00779120              	 0.0                     	 4.09180000e-3           	 7.82785552e-4           	 2.94580000e-3           	 1.75656557e-3           	 7.82726854e-4           	 4.68182687e-6           	 4.26579519e-4           	
Data:	 8.00913830              	 0.0                     	 3.99200000e-3           	 7.94961473e-4           	 2.97700000e-3           	 1.77531315e-3           	 7.94903247e-4           	 4.69713112e-6           	 4.26579519e-4           	
Data:	 8.01035410              	 0.0                     	 3.91720000e-3           	 7.98060803e-4           	 2.94580000e-3           	 1.76598303e-3           	 7.98010400e-4           	 4.71336868e-6           	 4.26579519e-4           	
Data:	 8.01518996              	 0.0                     	 3.76750000e-3           	 8.21635159e-4           	 2.94580000e-3           	 1.76683038e-3           	 8.21581205e-4           	 4.78534799e-6           	 4.26579519e-4           	
Data:	 8.03726084              	 0.0                     	 3.04390000e-3           	 9.14516496e-4           	 2.56060000e-3           	 1.69191231e-3           	 9.14452433e-4           	 5.07418180e-6           	 4.26579519e-4           	
Data:	 8.29671940              	 0.0                     	 3.05000000e-3           	 2.11364305e-3           	 2.56250000e-3           	 2.23176173e-3           	 2.11348255e-3           	 1.56439438e-5           	 4.26579519e-4           	
Data:	 8.09375692              	 0.0                     	 2.55000000e-3           	 9.42548802e-4           	 1.56250000e-3           	 1.10340483e-3           	 9.42498995e-4           	 6.41195836e-6           	 4.26579519e-4           	
Data:	 8.08362784              	 0.0                     	 2.62500000e-3           	 9.22324006e-4           	 1.65630000e-3           	 1.16362680e-3           	 9.22267653e-4           	 6.15960960e-6           	 4.26579519e-4           	
Data:	 8.07876892              	 0.0                     	 2.65000000e-3           	 9.12002884e-4           	 1.65630000e-3           	 1.18969686e-3           	 9.11956762e-4           	 6.02199113e-6           	 4.26579519e-4           	
Data:	 8.08719918              	 0.0                     	 2.57500000e-3           	 9.36740559e-4           	 1.64580000e-3           	 1.15472070e-3           	 9.36681159e-4           	 6.23915006e-6           	 4.26579519e-4           	
Data:	 8.08699539              	 0.0                     	 2.60000000e-3           	 9.72410605e-4           	 1.64580000e-3           	 1.21323456e-3           	 9.72360543e-4           	 6.14636457e-6           	 4.26579519e-4           	
Data:	 8.08660461              	 0.0                     	 2.60000000e-3           	 9.71865688e-4           	 1.66670000e-3           	 1.21706015e-3           	 9.71813604e-4           	 6.14359339e-6           	 4.26579519e-4           	
Data:	 8.08473701              	 0.0                     	 2.55000000e-3           	 9.75412463e-4           	 1.68750000e-3           	 1.24108758e-3           	 9.75353778e-4           	 6.08070913e-6           	 4.26579519e-4           	
Data:	 8.09205857              	 0.0                     	 2.50000000e-3           	 1.04736702e-3           	 1.68750000e-3           	 1.28649834e-3           	 1.04730497e-3           	 6.16442713e-6           	 4.26579519e-4           	
Data:	 8.08968991              	 0.0                     	 2.47500000e-3           	 1.03353177e-3           	 1.68750000e-3           	 1.28760582e-3           	 1.03347524e-3           	 6.11526063e-6           	 4.26579519e-4           	
Data:	 8.08889817              	 0.0                     	 2.42500000e-3           	 1.03205049e-3           	 1.70830000e-3           	 1.29434335e-3           	 1.03199860e-3           	 6.10259544e-6           	 4.26579519e-4           	
Data:	 7.44160397              	 0.0                     	 2.07500000e-3           	 2.43175750e-3           	 1.47920000e-3           	 1.80054779e-3           	 2.43162422e-3           	 3.11933768e-6           	 4.26579519e-3           	
Data:	 7.36384722              	 0.0                     	 2.07500000e-3           	 2.43586523e-3           	 1.47920000e-3           	 1.80849833e-3           	 2.43572155e-3           	 2.02584626e-6           	 4.26579519e-3           	
