NodeID: 0.0
 nr   logfactor           convergence         gas_val_u                   gas_res             I                           I.eq                pH                          chargebalance       Ar[g].logact                Ar[g].tot           CO2[g].logact               CO2[g].tot         
                                                                          0.0                                             0.0                                             0.0                                             0.0                                             0.0                

 1.0  0.0                 12.999999999999833  2.92844424e-13           X  1.00000000          8.95285961e-8              -1.85903880e-18      7.04819076                  9.26442286e-23     -12.4164323                  3.83325651e-33     -21.2736234                  1.08775134e-22     
 2.0  0.0                 12.999999999998336 -6.33531343e-4            X  1.00000000          8.95285961e-8              -1.85901233e-18      7.04819076                  1.45583788e-22     -11.4164323                  3.83325517e-32     -21.7084180                  3.99700792e-23     
 3.0  0.0                 12.999999999983352  9.93664687e-2            X  1.00000000          8.95285961e-8              -3.57342025e-22      7.04819076                  1.85288457e-22     -10.4164323                  1.54701689e-14     -22.7084180                  4.00490578e-24     
 4.0  0.0                 12.999999999833523 -6.33531343e-4            X  1.00000000          8.97372588e-8               2.08626002e-10      7.04819076                 -9.66180043e-18     -9.41643227                  3.83325517e-30     -21.7084180                  3.99700928e-23     
 5.0  0.0                 12.99999999833524   9.93664687e-2            X  9.99999996e-1       8.95286321e-8               3.59382683e-14      7.04819076                  1.27108543e-17     -8.41643227               X  1.54701689e-12     -22.7084180                  4.00490578e-24     
 6.0  0.0                 12.999999983352383 -6.33531343e-4            X  9.99999962e-1       8.95253717e-8              -3.22384268e-12      7.04819076                  3.02245178e-19     -7.41643227                  3.83325517e-28     -21.7084180                  3.99700790e-23     
 7.0  0.0                 12.999999993882733  9.93664687e-2            X  9.99999986e-1       8.95285956e-8              -5.55678958e-16      7.04819076                 -1.96286651e-19     -7.85122694               X  5.68460616e-12     -22.7084180                  4.00490578e-24     
 8.0  -4.784425839589625  12.999999938827335 -6.33531343e-4            X  9.99999859e-1       8.95285956e-8              -5.69066737e-16      7.04819076                 -1.96326355e-19     -6.85122694                  1.40855256e-27     -21.7084180                  3.99700792e-23     
 9.0  0.0                 12.999999388272967  9.93664687e-2            X  9.99998591e-1       8.95285961e-8              -9.80440636e-20      7.04819076                  0.0                -5.85122694               X  5.68460616e-10     -22.7084180                  4.00490578e-24     
 10.0 -2.784117872725827  12.99999388269089  -6.33531343e-4            X  9.99985914e-1       8.95285962e-8               1.03684244e-17      7.04819076                 -3.97046694e-23     -4.85122694                  1.40855256e-25     -21.7084180                  3.99700792e-23     
 11.0 -4.489505042020902  12.999938823031075  9.93664687e-2            X  9.99859145e-1       8.95285962e-8               1.03681200e-17      7.04819076                  0.0                -3.85122694               X  5.68460616e-8      -22.7084180                  4.00490578e-24     
 12.0 -3.5452569667150535 12.999536336990179 -6.33531343e-4            X  9.98932946e-1       8.95285962e-8               1.03651686e-17      7.04819076                  0.0                -2.97181367                  1.06705383e-23     -22.7068074                  4.01185852e-24     
 13.0 0.0                 12.999829681775255  9.93664687e-2            X  9.99607905e-1       8.95285961e-8               1.69406589e-21      7.04819076                 -1.85288457e-22     -3.40660835               X  1.58240986e-7      -23.7068074                  4.01978572e-25     
 14.0 -3.1006383688192445 12.99870873989796  -6.33531343e-4            X  9.97031179e-1       8.95285961e-8               1.69406589e-21      7.04819076                 -1.85288457e-22     -2.52741605                  2.96882057e-23     -23.7054178                  4.02471594e-25     
 15.0 -2.1644090044408544 12.986911310322355  9.93664687e-2            X  9.70311794e-1       8.95285961e-8               1.68083100e-21      7.04819076                 -1.85288457e-22     -1.52741605               X  1.19815023e-5      -24.7054178                  4.03266855e-26     
 16.0 -1.2214460720782152 12.896614050948058 -6.33531343e-4            X  7.88159384e-1       8.95285961e-8               1.68083100e-21      7.04819076                 -1.85288457e-22     -6.73990770e-1               2.11840616e-21     -24.7297952                  3.80502787e-26     
 17.0 -0.2088890365010800 13.04859954888501   9.93664687e-2            X -1.11840616          8.95285961e-8               6.35274710e-22      7.04819076                 -1.85288457e-22      3.26009230e-1            X  8.54941808e-4      -25.7297952                  3.81254638e-27     
 18.0 0.0                 12.398332986480472  7.60307708e-2            X -2.50226319e-1       8.95285962e-8               6.37881984e-18      7.04819076                  1.85288457e-22      9.69886370e-2            X  2.95403092e-4      -26.1641851                  1.40110293e-27     
 19.0 0.0                 11.374496791995295  4.58226251e-2            X -2.36862764e-2       8.95285961e-8              -6.62726519e-18      7.04819076                  0.0                 1.01668811e-2            X  8.78566070e-5      -26.5985779                  5.14941096e-28     
 20.0 0.0                 9.475037439673402   2.36830189e-2            X -2.98563999e-4       8.95285961e-8              -7.33623177e-19      7.04819076                  0.0                 1.29645345e-4            X  2.29324990e-5      -27.0331942                  1.89237661e-28     
 21.0 0.0                 7.776286149464085   1.20898019e-2            X -3.88052607e-7       8.95285961e-8              -9.26442286e-23      7.04819076                 -1.85288457e-22      1.68529073e-7            X  5.97428793e-6      -27.4679401                  6.95385513e-29     
 22.0 0.0                 7.208054656120696   6.28497452e-3            X -4.46665815e-10      8.95285961e-8              -5.45335693e-18      7.04819076                  3.70576914e-22      1.93984473e-10           X  1.61456174e-6      -27.9027220                  2.55525597e-29     
 23.0 0.0                 6.667754297056992   3.37406420e-3            X -5.14033260e-13      8.95285961e-8              -9.92616735e-22      7.04819076                 -1.85288457e-22      2.23221136e-13           X  4.65322762e-7      -28.3375133                  9.38946250e-30     
 24.0 0.0                 6.171130984990969   1.90476624e-3              -4.44089210e-16      8.95285961e-8              -5.04925604e-18      7.04819076                  1.85288457e-22      2.36245940e-16           X  1.48296529e-7      -28.7723070                  3.45021671e-30     
 25.0 0.0                 5.7331476377455735  1.15040302e-3               0.0                 8.95285962e-8               8.68912867e-18      7.04819076                  0.0                 4.36024063e-17           X  5.40938183e-8      -29.2071013                  1.26780312e-30     
