pH                       	pressure                 	CO2[g].logact            	H2CO3.logact             	HCO3-.logact             	CO3-2.logact             	Ca+2.logact              	CO2[g].liter             	Calcite[s].si            	Calcite[s].tot           	CO2[g].tot               	HCO3-.con                	CO3-2.con                	CO3-2.diss               	CO3-2.tot                	Ca+2.diss                	Ca+2.tot                 	Ca+2.diss                	Calcite[s].tot           	Calcite[s].con           	Aragonite[s].con         	
 7.00000000              	 1.00000000              	-18.9749342              	-20.4409342              	-19.7929342              	-23.1219342              	 5.43091702e-1           	 1.05941434e-19          	-14.0988425              	 0.0                     	 1.05941434e-19          	 2.65456426e-20          	 2.16256571e-24          	 1.73273697e-18          	 1.00000000e-20          	 1.00000000              	 1.00000000              	 1.00000000              	 0.0                     	 0.0                     	 0.0                     	
 7.00000000              	 1.00900677              	-2.04543092              	-3.51143092              	-2.86343092              	-6.19243092              	-2.28756908              	 9.08789200e-3           	 4.44089210e-16          	 9.98983909              	 9.08789200e-3           	 1.60429056e-3           	 1.24518604e-6           	 2.07302025e-3           	 10.0010000              	 1.01609122e-2           	 10.0000000              	 1.01609122e-2           	 9.98983909              	 9.98983909              	 0.0                     	
 1.00000000              	 1.77124011              	-1.12810390e-1           	-1.57881039              	-6.93081039              	-16.2598104              	 6.37440326              	 1.36605143              	-1.40540713              	 0.0                     	 1.36605143              	 2.04753201e-7           	 3.23030949e-23          	 8.63494857              	 10.0010000              	 10.0000000              	 10.0000000              	 10.0000000              	 0.0                     	 0.0                     	 0.0                     	
 1.50000000              	 1.66125465              	-1.79631262e-1           	-1.64563126              	-6.49763126              	-15.3266313              	 5.95469970              	 1.09851236              	-8.91931563e-1           	 0.0                     	 1.09851236              	 5.55149341e-7           	 5.86046941e-22          	 8.90248764              	 10.0010000              	 10.0000000              	 10.0000000              	 10.0000000              	 0.0                     	 0.0                     	 0.0                     	
 2.00000000              	 1.55009832              	-2.59559685e-1           	-1.72555969              	-6.07755969              	-14.4065597              	 5.54666730              	 8.52706472e-1           	-3.79892382e-1           	 0.0                     	 8.52706472e-1           	 1.46043222e-6           	 9.69495889e-21          	 9.14829353              	 10.0010000              	 10.0000000              	 10.0000000              	 10.0000000              	 0.0                     	 0.0                     	 0.0                     	
 2.50000000              	 1.67132632              	-1.73066328e-1           	-1.63906633              	-5.49106633              	-13.3200663              	 4.84006633              	 1.12200534              	 0.0                     	 1.93232469              	 1.12200534              	 5.63604903e-6           	 7.91186386e-19          	 6.94666997              	 10.0010000              	 8.06767531              	 10.0000000              	 8.06767531              	 1.93232469              	 1.93232469              	 0.0                     	
 3.00000000              	 1.96955669              	-1.34267934e-2           	-1.47942679              	-4.83142679              	-12.1604268              	 3.68042679              	 1.90959686              	 0.0                     	 5.87837684              	 1.90959686              	 2.56051535e-5           	 2.80121167e-16          	 2.21302630              	 10.0010000              	 4.12162316              	 10.0000000              	 4.12162316              	 5.87837684              	 5.87837684              	 0.0                     	
 3.50000000              	 1.94947926              	-2.25145183e-2           	-1.48851452              	-4.34051452              	-11.1695145              	 2.68951452              	 1.85099012              	 0.0                     	 7.43457131              	 1.85099012              	 7.84116448e-5           	 2.60444254e-14          	 7.15438571e-1           	 10.0010000              	 2.56542869              	 10.0000000              	 2.56542869              	 7.43457131              	 7.43457131              	 0.0                     	
 4.00000000              	 1.82852040              	-8.16967920e-2           	-1.54769679              	-3.89969679              	-10.2286968              	 1.74869679              	 1.51496646              	-8.88178420e-16          	 8.24403764              	 1.51496646              	 2.13395637e-4           	 1.62493268e-12          	 2.41995900e-1           	 10.0010000              	 1.75596236              	 10.0000000              	 1.75596236              	 8.24403764              	 8.24403764              	 0.0                     	
 4.50000000              	 1.66553192              	-1.76831109e-1           	-1.64283111              	-3.49483111              	-9.32383111              	 8.43831109e-1           	 1.10846466              	 5.55111512e-16          	 8.80281640              	 1.10846466              	 5.31881933e-4           	 7.68611477e-11          	 8.97189434e-2           	 10.0010000              	 1.19718360              	 10.0000000              	 1.19718360              	 8.80281640              	 8.80281640              	 0.0                     	
 5.00000000              	 1.47903857              	-3.19629522e-1           	-1.78562952              	-3.13762952              	-8.46662952              	-1.33704777e-2           	 7.08516512e-1           	-7.11236625e-16          	 9.25441784              	 7.08516512e-1           	 1.17670138e-3           	 2.55343216e-9           	 3.80656491e-2           	 10.0010000              	 7.45582161e-1           	 10.0000000              	 7.45582161e-1           	 9.25441784              	 9.25441784              	 0.0                     	
 5.50000000              	 1.28347046              	-5.47492189e-1           	-2.01349219              	-2.86549219              	-7.69449219              	-7.85507811e-1           	 3.63825965e-1           	 4.44089210e-16          	 9.61914699              	 3.63825965e-1           	 2.10101983e-3           	 4.61964680e-8           	 1.80270464e-2           	 10.0010000              	 3.80853011e-1           	 10.0000000              	 3.80853011e-1           	 9.61914699              	 9.61914699              	 0.0                     	
 6.00000000              	 1.11826353              	-9.27149146e-1           	-2.39314915              	-2.74514915              	-7.07414915              	-1.40585085              	 1.32249798e-1           	 2.22044605e-16          	 9.86030258              	 1.32249798e-1           	 2.56059804e-3           	 2.95888157e-7           	 8.44762401e-3           	 10.0010000              	 1.39697422e-1           	 10.0000000              	 1.39697422e-1           	 9.86030258              	 9.86030258              	 0.0                     	
 6.50000000              	 1.03434387              	-1.46415076              	-2.93015076              	-2.78215076              	-6.61115076              	-1.86884924              	 3.55233719e-2           	 0.0                     	 9.96164915              	 3.55233719e-2           	 2.11799194e-3           	 6.84527420e-7           	 3.82748058e-3           	 10.0010000              	 3.83508524e-2           	 10.0000000              	 3.83508524e-2           	 9.96164915              	 9.96164915              	 0.0                     	
