@class: format(){
    //Output_at: (time, from:, 0, to:, 10, steps:, 100 )
  // @PHREEQCOutput: chemistry1.inp

//Var: 	 I                       	 I.calc                  	 Ca+2.logact             	 F-.logact               	 Na+.logact              	 SO4-2.logact            	 SO4-2.logact            	 Fluorite[s].con         	 Gypsum[s].con           	
//Data:	 0.0                     	 2.36358748e-2           	-2.39320814              	-4.10339593              	-3.00000000              	-2.18679186              	-2.18679186              	 2.46059294e-3           	 3.49558661e-3           	

}

@format()

// The column headers in this file can be edited and determine the output for the next run.
Var: 	pH                       	chargebalance            	Ca+2.tot                 	HCO3-.tot                	SO4-2.tot                	Ca+2.con                 	HCO3-.con                	CO3-2.con                	CO2[g].con               	
Data:	 7.32000000              	 2.24409353e-4           	 4.11680000e-3           	 5.04750000e-3           	 2.94580000e-3           	 3.41347992e-3           	 4.45767009e-3           	 6.25734467e-6           	 1.22517532e-2           	
Data:	 7.23000000              	 3.44899348e-4           	 4.19160000e-3           	 5.17860000e-3           	 3.02900000e-3           	 3.47112988e-3           	 4.48895606e-3           	 5.17411594e-6           	 1.52246733e-2           	
Data:	 7.20000000              	 1.12089693e-4           	 4.21660000e-3           	 5.16220000e-3           	 3.08110000e-3           	 3.48365372e-3           	 4.44558312e-3           	 4.79135738e-6           	 1.61799706e-2           	
Data:	 7.24000000              	 3.98467034e-4           	 4.19160000e-3           	 5.08030000e-3           	 2.94580000e-3           	 3.48188000e-3           	 4.41220266e-3           	 5.15679341e-6           	 1.45746587e-2           	
Data:	 7.43000000              	 8.48904666e-7           	 4.19160000e-3           	 5.14590000e-3           	 2.99780000e-3           	 3.46510738e-3           	 4.62135052e-3           	 8.25812583e-6           	 9.75145763e-3           	
Data:	 7.79000000              	-2.33273034e-4           	 4.14170000e-3           	 5.11310000e-3           	 2.97700000e-3           	 3.40640290e-3           	 4.73783839e-3           	 1.85146019e-5           	 4.22606762e-3           	
Data:	 8.06000000              	-3.88329095e-4           	 4.09180000e-3           	 5.09670000e-3           	 2.94580000e-3           	 3.34346123e-3           	 4.74730916e-3           	 3.38456503e-5           	 2.24500800e-3           	
Data:	 8.27000000              	-1.62134377e-4           	 3.99200000e-3           	 4.55590000e-3           	 2.97700000e-3           	 3.24242240e-3           	 4.22242740e-3           	 4.78342627e-5           	 1.21801331e-3           	
Data:	 8.28000000              	-1.99355953e-4           	 3.91720000e-3           	 4.47390000e-3           	 2.94580000e-3           	 3.18372613e-3           	 4.14738887e-3           	 4.78708734e-5           	 1.16824365e-3           	
Data:	 8.37000000              	-3.52352172e-4           	 3.76750000e-3           	 4.32650000e-3           	 2.94580000e-3           	 3.05045547e-3           	 3.99944540e-3           	 5.51959623e-5           	 9.00205394e-4           	
Data:	 8.25000000              	-4.79126342e-4           	 3.04390000e-3           	 3.44150000e-3           	 2.56060000e-3           	 2.52292697e-3           	 3.22906326e-3           	 3.02425797e-5           	 9.08564443e-4           	
Data:	 8.25000000              	-4.07363799e-4           	 3.05000000e-3           	 3.44260000e-3           	 2.56250000e-3           	 2.55194569e-3           	 3.23341571e-3           	 2.17842930e-5           	 7.17895550e-4           	
Data:	 6.98000000              	 4.02872520e-4           	 2.55000000e-3           	 3.83610000e-3           	 1.56250000e-3           	 2.24016402e-3           	 3.06558611e-3           	 1.68359038e-6           	 1.76857948e-2           	
Data:	 6.91000000              	 4.11930767e-4           	 2.62500000e-3           	 3.91800000e-3           	 1.65630000e-3           	 2.29660176e-3           	 3.03573529e-3           	 1.42413811e-6           	 2.05519577e-2           	
Data:	 6.89000000              	 4.08298357e-4           	 2.65000000e-3           	 3.93440000e-3           	 1.65630000e-3           	 2.31882472e-3           	 3.01921557e-3           	 1.35228072e-6           	 2.14053292e-2           	
Data:	 7.01000000              	 2.41901511e-4           	 2.57500000e-3           	 3.88520000e-3           	 1.64580000e-3           	 2.25105389e-3           	 3.13900557e-3           	 1.83334215e-6           	 1.67574224e-2           	
Data:	 7.19000000              	 9.55407873e-6           	 2.60000000e-3           	 3.88520000e-3           	 1.64580000e-3           	 2.26948978e-3           	 3.31548816e-3           	 2.78153495e-6           	 1.12552334e-2           	
Data:	 7.41000000              	-1.53681970e-4           	 2.60000000e-3           	 3.85250000e-3           	 1.66670000e-3           	 2.26258369e-3           	 3.45255509e-3           	 4.81422709e-6           	 7.05880745e-3           	
Data:	 7.83000000              	-4.93471617e-4           	 2.55000000e-3           	 3.83610000e-3           	 1.68750000e-3           	 2.20316779e-3           	 3.59417543e-3           	 1.30402039e-5           	 2.77249605e-3           	
Data:	 7.98000000              	-4.96047144e-4           	 2.50000000e-3           	 3.67210000e-3           	 1.68750000e-3           	 2.15791514e-3           	 3.45912898e-3           	 1.63911098e-5           	 1.79021893e-3           	
Data:	 7.92000000              	-4.82302514e-4           	 2.47500000e-3           	 3.60660000e-3           	 1.68750000e-3           	 2.13876328e-3           	 3.39170305e-3           	 1.41371484e-5           	 2.03202587e-3           	
Data:	 7.98000000              	-4.40429526e-4           	 2.42500000e-3           	 3.42620000e-3           	 1.70830000e-3           	 2.09318651e-3           	 3.22955201e-3           	 1.54344200e-5           	 1.68597972e-3           	
Data:	 8.08000000              	-4.35754012e-4           	 2.07500000e-3           	 3.00000000e-3           	 1.47920000e-3           	 1.81081228e-3           	 2.84219518e-3           	 1.59136345e-5           	 1.13911579e-3           	
Data:	 8.08000000              	-4.14657527e-4           	 2.07500000e-3           	 3.00000000e-3           	 1.47920000e-3           	 1.81760096e-3           	 2.83484835e-3           	 1.23062684e-5           	 9.46000444e-4           	
