pH                       	T                        	Alkalinity.tot           	chargebalance            	HCO3-.tot                	Ca+2.tot                 	Ca+2.con                 	HCO3-.con                	CO3-2.con                	CO2[g].con               	CO2[g].gas               	CO2[g].logact            	Calcite[s].tot           	Calcite[s].si            	
 7.30693167              	 2.97450000e2            	 0.0                     	 0.0                     	 5.04750000e-3           	 4.11680000e-3           	 2.45041360e-3           	 2.57816398e-3           	 3.42810048e-6           	 7.44319670e-3           	 7.44319670e-3           	-2.12824050              	 1.10235796e-3           	-4.44089210e-16          	
 7.29895177              	 2.97750000e2            	 0.0                     	 0.0                     	 5.17860000e-3           	 4.19160000e-3           	 2.45629609e-3           	 2.60910609e-3           	 3.43946556e-6           	 7.69761942e-3           	 7.69761942e-3           	-2.11364356              	 1.16029587e-3           	 4.44089210e-16          	
 7.26976336              	 2.97850000e2            	 0.0                     	 0.0                     	 5.16220000e-3           	 4.21660000e-3           	 2.60137616e-3           	 2.63918341e-3           	 3.26960100e-6           	 8.33212496e-3           	 8.33212496e-3           	-2.07924423              	 1.00330721e-3           	 0.0                     	
 7.30973043              	 2.97450000e2            	 0.0                     	 0.0                     	 5.08030000e-3           	 4.19160000e-3           	 2.45378003e-3           	 2.55793630e-3           	 3.42306770e-6           	 7.33743521e-3           	 7.33743521e-3           	-2.13445572              	 1.17391185e-3           	 0.0                     	
 7.28972186              	 2.96750000e2            	 0.0                     	 0.0                     	 5.14590000e-3           	 4.19160000e-3           	 2.55596604e-3           	 2.64534075e-3           	 3.34316601e-6           	 7.85656306e-3           	 7.85656306e-3           	-2.10476740              	 1.04813630e-3           	-4.44089210e-16          	
 7.30891797              	 2.94550000e2            	 0.0                     	 0.0                     	 5.11310000e-3           	 4.14170000e-3           	 2.56998399e-3           	 2.70703061e-3           	 3.41487187e-6           	 7.44510397e-3           	 7.44510397e-3           	-2.12812923              	 9.93254611e-4           	 0.0                     	
 7.31584688              	 2.93650000e2            	 0.0                     	 0.0                     	 5.09670000e-3           	 4.09180000e-3           	 2.57085699e-3           	 2.74174309e-3           	 3.44584318e-6           	 7.32316927e-3           	 7.32316927e-3           	-2.13530093              	 9.50176310e-4           	 4.44089210e-16          	
 7.38306564              	 2.92850000e2            	 0.0                     	 0.0                     	 4.55590000e-3           	 3.99200000e-3           	 2.47779026e-3           	 2.49311251e-3           	 3.58718827e-6           	 5.64008131e-3           	 5.64008131e-3           	-2.24871464              	 9.61190566e-4           	 0.0                     	
 7.38821581              	 2.92750000e2            	 0.0                     	 0.0                     	 4.47390000e-3           	 3.91720000e-3           	 2.46331223e-3           	 2.48170673e-3           	 3.60130360e-6           	 5.54175837e-3           	 5.54175837e-3           	-2.25635241              	 9.07943459e-4           	 0.0                     	
 7.40095091              	 2.91550000e2            	 0.0                     	 0.0                     	 4.32650000e-3           	 3.76750000e-3           	 2.46748095e-3           	 2.50693163e-3           	 3.65221207e-6           	 5.33756860e-3           	 5.33756860e-3           	-2.27265653              	 7.58459699e-4           	 8.88178420e-16          	
 7.50424322              	 2.87550000e2            	 0.0                     	 0.0                     	 3.44150000e-3           	 3.04390000e-3           	 2.30963532e-3           	 2.36522322e-3           	 3.94587108e-6           	 3.74892864e-3           	 3.74892864e-3           	-2.42609283              	 2.83094637e-4           	-4.44089210e-16          	
