Anhydrite[s].si          	Ar[g].logact             	Aragonite[s].si          	CO2[g].con               	CO2[g].logact            	CO3-2.con                	Ca+2.con                 	Ca+2.logact              	Ca+2.tot                 	Calcite[s].si            	Calcite[s].tot           	Calcite[s].un            	Cl-.logact               	Cl-.tot                  	Dolomite[s].si           	F-.logact                	F-.tot                   	Fluorite[s].si           	Gypsum[s].si             	H2O.logact               	HCO3-.con                	HCO3-.logact             	HCO3-.tot                	I                        	K+.logact                	K+.tot                   	Mg+2.logact              	Mg+2.tot                 	Na+.logact               	Na+.tot                  	Node_ID                  	SO4-2.logact             	SO4-2.tot                	T                        	chargebalance            	deltaSIcalcite           	gas_res                  	gas_val_u                	logI                     	minTol                   	pH                       	
-1.29462710              	 0.0                     	-1.80985099e-1           	 7.44319670e-3           	-2.12824050              	 3.42810048e-6           	 2.45041360e-3           	-2.81092590              	 4.11680000e-3           	-4.44089210e-16          	 1.10235796e-3           	 1.10235796e-3           	-4.06871662              	 9.57910000e-5           	-3.22623490e-1           	-4.36152693              	 5.26320000e-5           	-1.03068146              	-1.04139660              	-7.51272229e-5           	 2.57816398e-3           	-2.63690067              	 5.04750000e-3           	 1.29336144e-2           	-3.49431000              	 3.63170000e-4           	-3.25519690              	 1.04480000e-3           	-3.70806505              	 2.21740000e-4           	 1.00000000              	-2.84073273              	 2.94580000e-3           	 2.97450000e2            	 0.0                     	 0.0                     	 0.0                     	 1.03735087              	-1.88828009              	 0.0                     	 7.30693167              	
-1.28598545              	 0.0                     	-1.80562346e-1           	 7.69761942e-3           	-2.11364356              	 3.43946556e-6           	 2.45629609e-3           	-2.81197417              	 4.19160000e-3           	 4.44089210e-16          	 1.16029587e-3           	 1.16029587e-3           	-4.04367001              	 1.01600000e-4           	-2.78936779e-1           	-4.32313811              	 5.78950000e-5           	-9.56367536e-1           	-1.03420871              	-7.65874153e-5           	 2.60910609e-3           	-2.63220908              	 5.17860000e-3           	 1.32363115e-2           	-3.47694587              	 3.78520000e-4           	-3.21614290              	 1.15180000e-3           	-3.82515144              	 1.69570000e-4           	 1.00000000              	-2.83231672              	 3.02900000e-3           	 2.97750000e2            	 0.0                     	 0.0                     	 0.0                     	 1.03814619              	-1.87823302              	 0.0                     	 7.29895177              	
-1.25885723              	 0.0                     	-1.80421618e-1           	 8.33212496e-3           	-2.07924423              	 3.26960100e-6           	 2.60137616e-3           	-2.78879787              	 4.21660000e-3           	 0.0                     	 1.00330721e-3           	 1.00330721e-3           	-3.82476134              	 1.68360000e-4           	-3.31872487e-1           	-4.32213307              	 5.78950000e-5           	-9.31652359e-1           	-1.00756734              	-7.85272240e-5           	 2.63918341e-3           	-2.62764056              	 5.16220000e-3           	 1.35007175e-2           	-3.49234914              	 3.65730000e-4           	-3.24709552              	 1.07770000e-3           	-3.82561879              	 1.69570000e-4           	 1.00000000              	-2.82878887              	 3.08110000e-3           	 2.97850000e2            	 0.0                     	 0.0                     	 0.0                     	 1.03896281              	-1.86964315              	 0.0                     	 7.26976336              	
-1.29452300              	 0.0                     	-1.80985099e-1           	 7.33743521e-3           	-2.13445572              	 3.42306770e-6           	 2.45378003e-3           	-2.81030876              	 4.19160000e-3           	 0.0                     	 1.17391185e-3           	 1.17391185e-3           	-4.08207648              	 9.28880000e-5           	-3.13078825e-1           	-4.32071144              	 5.78950000e-5           	-9.48433337e-1           	-1.04129140              	-7.45775587e-5           	 2.55793630e-3           	-2.64031657              	 5.08030000e-3           	 1.29304518e-2           	-3.49429964              	 3.63170000e-4           	-3.24503509              	 1.06950000e-3           	-3.88413443              	 1.47830000e-4           	 1.00000000              	-2.84124577              	 2.94580000e-3           	 2.97450000e2            	 0.0                     	 0.0                     	 0.0                     	 1.03724514              	-1.88838630              	 0.0                     	 7.30973043              	
-1.27741259              	 0.0                     	-1.81974844e-1           	 7.85656306e-3           	-2.10476740              	 3.34316601e-6           	 2.55596604e-3           	-2.79432974              	 4.19160000e-3           	-4.44089210e-16          	 1.04813630e-3           	 1.04813630e-3           	-4.04357750              	 1.01600000e-4           	-3.36106963e-1           	-4.28327825              	 6.31580000e-5           	-8.54274095e-1           	-1.02078803              	-7.64457634e-5           	 2.64534075e-3           	-2.62613424              	 5.14590000e-3           	 1.32323431e-2           	-3.53646008              	 3.29920000e-4           	-3.24369232              	 1.07770000e-3           	-3.96895044              	 1.21740000e-4           	 1.00000000              	-2.83713191              	 2.99780000e-3           	 2.96750000e2            	 0.0                     	 0.0                     	 0.0                     	 1.03653486              	-1.87836325              	 0.0                     	 7.28972186              	
-1.28474950              	 0.0                     	-1.85116101e-1           	 7.44510397e-3           	-2.12812923              	 3.41487187e-6           	 2.56998399e-3           	-2.79143280              	 4.14170000e-3           	 0.0                     	 9.93254611e-4           	 9.93254611e-4           	-4.05605005              	 9.86940000e-5           	-3.74074901e-1           	-4.28147506              	 6.31580000e-5           	-8.37253247e-1           	-1.01734585              	-7.71261018e-5           	 2.70703061e-3           	-2.61600443              	 5.11310000e-3           	 1.32668856e-2           	-3.50383723              	 3.55500000e-4           	-3.25212911              	 1.05310000e-3           	-3.87194426              	 1.52170000e-4           	 1.00000000              	-2.83790000              	 2.97700000e-3           	 2.94550000e2            	 0.0                     	 0.0                     	 0.0                     	 1.03254669              	-1.87723102              	 0.0                     	 7.30891797              	
-1.29112535              	 0.0                     	-1.86414726e-1           	 7.32316927e-3           	-2.13530093              	 3.44584318e-6           	 2.57085699e-3           	-2.79070788              	 4.09180000e-3           	 4.44089210e-16          	 9.50176310e-4           	 9.50176310e-4           	-4.04330274              	 1.01600000e-4           	-3.91108738e-1           	-4.35973817              	 5.26320000e-5           	-9.88706503e-1           	-1.01926496              	-7.71307994e-5           	 2.74174309e-3           	-2.61033702              	 5.09670000e-3           	 1.32240577e-2           	-3.50052330              	 3.58060000e-4           	-3.25742719              	 1.03660000e-3           	-3.84764117              	 1.60870000e-4           	 1.00000000              	-2.84108754              	 2.94580000e-3           	 2.93650000e2            	 0.0                     	 0.0                     	 0.0                     	 1.03107979              	-1.87863526              	 0.0                     	 7.31584688              	
-1.30039398              	 0.0                     	-1.87575760e-1           	 5.64008131e-3           	-2.24871464              	 3.58718827e-6           	 2.47779026e-3           	-2.80510889              	 3.99200000e-3           	 0.0                     	 9.61190566e-4           	 9.61190566e-4           	-4.00721785              	 1.10300000e-4           	-3.78511033e-1           	-4.35911116              	 5.26320000e-5           	-9.97966140e-1           	-1.02454294              	-7.40794139e-5           	 2.49311251e-3           	-2.65124492              	 4.55590000e-3           	 1.30166418e-2           	-3.49098133              	 3.65730000e-4           	-3.24938628              	 1.05310000e-3           	-3.85916395              	 1.56520000e-4           	 1.00000000              	-2.83245652              	 2.97700000e-3           	 2.92850000e2            	 0.0                     	 0.0                     	 0.0                     	 1.02825554              	-1.88550105              	 0.0                     	 7.38306564              	
-1.30621866              	 0.0                     	-1.87721336e-1           	 5.54175837e-3           	-2.25635241              	 3.60130360e-6           	 2.46331223e-3           	-2.80694144              	 3.91720000e-3           	 0.0                     	 9.07943459e-4           	 9.07943459e-4           	-4.05532447              	 9.86940000e-5           	-3.78555556e-1           	-4.31742266              	 5.78950000e-5           	-9.15934269e-1           	-1.02986651              	-7.33232608e-5           	 2.48170673e-3           	-2.65306923              	 4.47390000e-3           	 1.29128315e-2           	-3.49997036              	 3.58060000e-4           	-3.25002904              	 1.04900000e-3           	-3.92390257              	 1.34780000e-4           	 1.00000000              	-2.83600998              	 2.94580000e-3           	 2.92750000e2            	 0.0                     	 0.0                     	 0.0                     	 1.02801807              	-1.88897852              	 0.0                     	 7.38821581              	
-1.30976012              	 0.0                     	-1.89476031e-1           	 5.33756860e-3           	-2.27265653              	 3.65221207e-6           	 2.46748095e-3           	-2.80609345              	 3.76750000e-3           	 8.88178420e-16          	 7.58459699e-4           	 7.58459699e-4           	-4.05529606              	 9.86940000e-5           	-3.91906726e-1           	-4.35827216              	 5.26320000e-5           	-9.90910240e-1           	-1.02738662              	-7.36095616e-5           	 2.50693163e-3           	-2.64865272              	 4.32650000e-3           	 1.29547587e-2           	-3.49071639              	 3.65730000e-4           	-3.24765445              	 1.05310000e-3           	-3.91009778              	 1.39130000e-4           	 1.00000000              	-2.83511189              	 2.94580000e-3           	 2.91550000e2            	 0.0                     	 0.0                     	 0.0                     	 1.02620212              	-1.88757067              	 0.0                     	 7.40095091              	
