pH                       	T                        	CO2g[s].tot              	Anhydrite[s].tot         	Calcite[s].tot           	Dolomite[s].tot          	Epsomite[s].tot          	Fluorite[s].tot          	Ca+2.con                 	Mg+2.con                 	Epsomite[s].si           	
 8.00806230              	 2.97450000e2            	 2.17112607e-3           	 0.0                     	 2.05167246e-3           	 0.0                     	 0.0                     	 0.0                     	 1.65790850e-3           	 8.73560252e-4           	-3.90300530              	
 8.00876949              	 2.97750000e2            	 2.22820071e-3           	 0.0                     	 2.12647561e-3           	 0.0                     	 0.0                     	 0.0                     	 1.65233301e-3           	 9.60202344e-4           	-3.85766785              	
 7.99381537              	 2.97850000e2            	 2.36523396e-3           	 0.0                     	 1.99843330e-3           	 0.0                     	 0.0                     	 0.0                     	 1.77317302e-3           	 8.97689837e-4           	-3.88501735              	
 8.00672596              	 2.97450000e2            	 2.14359258e-3           	 0.0                     	 2.11407365e-3           	 0.0                     	 0.0                     	 0.0                     	 1.66864374e-3           	 8.94310023e-4           	-3.89386624              	
 8.00165194              	 2.96750000e2            	 2.28933476e-3           	 0.0                     	 2.03408925e-3           	 0.0                     	 0.0                     	 0.0                     	 1.73254973e-3           	 9.00539060e-4           	-3.88200888              	
 8.00913018              	 2.94550000e2            	 2.26097958e-3           	 0.0                     	 1.99199213e-3           	 0.0                     	 0.0                     	 0.0                     	 1.73329433e-3           	 8.82320152e-4           	-3.87518217              	
 8.01306241              	 2.93650000e2            	 2.26124257e-3           	 0.0                     	 1.95795239e-3           	 0.0                     	 0.0                     	 0.0                     	 1.72491806e-3           	 8.70541421e-4           	-3.87662746              	
 8.01395596              	 2.92850000e2            	 1.83130987e-3           	 0.0                     	 1.83521250e-3           	 0.0                     	 0.0                     	 0.0                     	 1.74395346e-3           	 8.84361632e-4           	-3.86100268              	
 8.01510834              	 2.92750000e2            	 1.80699339e-3           	 0.0                     	 1.77451048e-3           	 0.0                     	 0.0                     	 0.0                     	 1.73494503e-3           	 8.81678954e-4           	-3.86458854              	
 8.01925915              	 2.91550000e2            	 1.78450400e-3           	 0.0                     	 1.62665458e-3           	 0.0                     	 0.0                     	 0.0                     	 1.73675963e-3           	 8.86396637e-4           	-3.85272796              	
 8.03890829              	 2.87550000e2            	 1.40380486e-3           	 0.0                     	 1.03319479e-3           	 0.0                     	 0.0                     	 0.0                     	 1.66726934e-3           	 7.50597184e-4           	-3.93344659              	
 8.24869776              	 2.73150000e2            	 8.91265130e-4           	 0.0                     	 0.0                     	 2.79092643e-4           	 0.0                     	 0.0                     	 2.35500086e-3           	 5.29306994e-4           	-3.98663937              	
 8.09862985              	 2.93150000e2            	 1.51141211e-3           	 0.0                     	 1.28997312e-3           	 0.0                     	 0.0                     	 0.0                     	 1.08529826e-3           	 6.28085938e-4           	-4.20272217              	
 8.08844876              	 2.93150000e2            	 1.61413711e-3           	 0.0                     	 1.28945680e-3           	 0.0                     	 0.0                     	 0.0                     	 1.14472446e-3           	 6.28994504e-4           	-4.18398473              	
 8.08352337              	 2.93150000e2            	 1.64607964e-3           	 0.0                     	 1.28447387e-3           	 0.0                     	 0.0                     	 0.0                     	 1.17071801e-3           	 6.10707443e-4           	-4.19703135              	
 8.09178727              	 2.92650000e2            	 1.60542928e-3           	 0.0                     	 1.25118228e-3           	 0.0                     	 0.0                     	 0.0                     	 1.13594592e-3           	 6.33172399e-4           	-4.17917884              	
 8.09020284              	 2.90150000e2            	 1.60945032e-3           	 0.0                     	 1.21338393e-3           	 0.0                     	 0.0                     	 0.0                     	 1.19446885e-3           	 6.12528496e-4           	-4.17563224              	
 8.08982793              	 2.90150000e2            	 1.58303310e-3           	 0.0                     	 1.20752866e-3           	 0.0                     	 0.0                     	 0.0                     	 1.19813672e-3           	 6.23004313e-4           	-4.16424521              	
 8.08766039              	 2.89650000e2            	 1.64203889e-3           	 0.0                     	 1.12907832e-3           	 0.0                     	 0.0                     	 0.0                     	 1.22209034e-3           	 6.07925357e-4           	-4.16688017              	
 8.09312705              	 2.86150000e2            	 1.50424864e-3           	 0.0                     	 1.03357266e-3           	 0.0                     	 0.0                     	 0.0                     	 1.26753947e-3           	 6.02349630e-4           	-4.14446689              	
 8.09100245              	 2.86650000e2            	 1.47944351e-3           	 0.0                     	 1.00635339e-3           	 0.0                     	 0.0                     	 0.0                     	 1.26866430e-3           	 5.98436372e-4           	-4.15125150              	
 8.09022330              	 2.86650000e2            	 1.35931161e-3           	 0.0                     	 9.47373960e-4           	 0.0                     	 0.0                     	 0.0                     	 1.27522240e-3           	 6.16419831e-4           	-4.13498840              	
 8.10980357              	 2.84150000e2            	 1.08887392e-3           	 0.0                     	 7.04179402e-4           	 0.0                     	 0.0                     	 0.0                     	 1.20144354e-3           	 5.60406327e-4           	-4.20360292              	
 8.28631902              	 2.73150000e2            	 6.25915282e-4           	 0.0                     	 0.0                     	 1.22136957e-4           	 0.0                     	 0.0                     	 1.73583145e-3           	 4.54550151e-4           	-4.23097300              	
 9.30122308              	 3.13150000e2            	 0.0                     	 0.0                     	 5.01441622              	 2.49278344              	 0.0                     	 2.49992156              	 9.57797437e-3           	 4.51058322e-3           	-2.88907791              	
