NodeID: 0
 nr   logfactor           convergence         logI                        I.eq                pH                          chargebalance       Cl-.logact                  Cl-.tot             Na+.logact                  Na+.tot             SO3-2.logact                SO3-2.tot          
                                                                          0.0                                             0.0                                             9.99999978e-3                                   5.00000000e-1                                   9.99999968e-21     
 300  0                   11                 -3.01029996e-1            X  5.71384534e-1       1.00000000               X  6.36381411e-1      -30.7462571               X  2.44623477e-31     -4.35785269e-1               5.00000000e-1      -13.8335759               X  3.43986637e-7      
 300  -0.803717           11                 -3.90816486e-1            X  2.06207880e-1       9.00000000e-1            X  6.74203962e-1      -30.7446858               X  2.46427593e-31     -4.35785269e-1            X  5.01868364e-1      -13.8335760               X  5.35674585e-7      
 300  -0.828791           11                 -4.21401871e-1            X  5.49210976e-2       8.00000000e-1            X  7.18469091e-1      -30.7432025               X  2.47257983e-31     -4.36062390e-1            X  5.01522539e-1      -13.8335761               X  8.36794663e-7      
 300  -0.856408           11                 -4.29046055e-1            X -3.82419899e-2       7.00000000e-1            X  7.74315694e-1      -30.7418107               X  2.48025505e-31     -4.36274305e-1            X  5.01224986e-1      -13.8335762               X  1.31087834e-6      
 300  -0.888918           11                 -4.24107244e-1            X -1.08512752e-1       6.00000000e-1            X  8.44904337e-1      -30.7405192               X  2.48782139e-31     -4.36432507e-1            X  5.01078654e-1      -13.8335764               X  2.05829030e-6      
 300  -0.926808           11                 -4.11264044e-1            X -1.69251862e-1       5.00000000e-1            X  9.33891640e-1      -30.7393356               X  2.49490279e-31     -4.36560173e-1            X  5.00990051e-1      -13.8335766               X  3.23785978e-6      
 300  -0.970296           11                 -3.93140757e-1            X -2.26567028e-1       4.00000000e-1            X  1.04584291         -30.7382649               X  2.50102429e-31     -4.36666187e-1            X  5.00860267e-1      -13.8335769               X  5.10103583e-6      
 300  -1.01947            11                 -3.71477176e-1            X -2.83381192e-1       3.00000000e-1            X  1.18649116         -30.7373087               X  2.50576220e-31     -4.36748442e-1            X  5.00610672e-1      -13.8335774               X  8.04599392e-6      
 300  -1.07426            11                 -3.47593206e-1            X -3.40928996e-1       2.00000000e-1            X  1.36302702         -30.7364659               X  2.50879522e-31     -4.36799911e-1            X  5.00185587e-1      -13.8335781               X  1.27033703e-5      
 300  -1.1345             11                 -3.22580570e-1            X -3.99426354e-1       1.00000000e-1            X  1.58446637         -30.7357322               X  2.50993763e-31     -4.36813527e-1            X  4.99553046e-1      -13.8335790               X  2.00721205e-5      
 300  -1.19988            11                 -2.97371681e-1            X -4.58436503e-1       1.52655666e-16           X  1.86212483         -30.7351011               X  2.50916050e-31     -4.36785318e-1            X  4.98705556e-1      -13.8335803               X  3.17348143e-5      
