@class: format(){
    //Output_at: (time, from:, 0, to:, 10, steps:, 100 )
  // @PHREEQCOutput: chemistry1.inp

//Var: 	 I                       	 I.calc                  	 Ca+2.logact             	 F-.logact               	 Na+.logact              	 SO4-2.logact            	 SO4-2.logact            	 Fluorite[s].con         	 Gypsum[s].con           	
//Data:	 0.0                     	 2.36358748e-2           	-2.39320814              	-4.10339593              	-3.00000000              	-2.18679186              	-2.18679186              	 2.46059294e-3           	 3.49558661e-3           	

}

@format()

// The column headers in this file can be edited and determine the output for the next run.
Var: 	pH                       	chargebalance            	Alkalinity.tot           	CO2[g].logact            	Ca+2.tot                 	HCO3-.tot                	SO4-2.tot                	Ca+2.con                 	HCO3-.con                	CO3-2.con                	CO2[g].con               	
Data:	 7.32000000              	 3.54550047e-3           	 0.0                     	-2.45744203              	 4.11680000e-3           	 5.04750000e-3           	 2.94580000e-3           	 3.41637777e-3           	 1.25491274e-3           	 1.74048668e-6           	 3.48785140e-3           	
Data:	 7.23000000              	 3.86063914e-3           	 0.0                     	-2.42413242              	 4.19160000e-3           	 5.17860000e-3           	 3.02900000e-3           	 3.47595728e-3           	 1.09778788e-3           	 1.24929715e-6           	 3.76588961e-3           	
Data:	 7.20000000              	 3.64487453e-3           	 0.0                     	-2.41877646              	 4.21660000e-3           	 5.16220000e-3           	 3.08110000e-3           	 3.48711465e-3           	 1.03566424e-3           	 1.10182775e-6           	 3.81262017e-3           	
Data:	 7.24000000              	 3.83331040e-3           	 0.0                     	-2.43517214              	 4.19160000e-3           	 5.08030000e-3           	 2.94580000e-3           	 3.48792802e-3           	 1.09889361e-3           	 1.26836906e-6           	 3.67136752e-3           	
Data:	 7.43000000              	 3.20046801e-3           	 0.0                     	-2.48253880              	 4.19160000e-3           	 5.14590000e-3           	 2.99780000e-3           	 3.46718216e-3           	 1.54274386e-3           	 2.72676049e-6           	 3.29201043e-3           	
Data:	 7.79000000              	 2.08718040e-3           	 0.0                     	-2.64230524              	 4.14170000e-3           	 5.11310000e-3           	 2.97700000e-3           	 3.40165329e-3           	 2.52793893e-3           	 9.82146643e-6           	 2.27873993e-3           	
Data:	 8.06000000              	 1.22557638e-3           	 0.0                     	-2.81112082              	 4.09180000e-3           	 5.09670000e-3           	 2.94580000e-3           	 3.33165379e-3           	 3.23516887e-3           	 2.30190580e-5           	 1.54482461e-3           	
Data:	 8.27000000              	 8.59215250e-4           	 0.0                     	-3.01898497              	 3.99200000e-3           	 4.55590000e-3           	 2.97700000e-3           	 3.22506863e-3           	 3.28861672e-3           	 3.72941701e-5           	 9.57227198e-4           	
Data:	 8.28000000              	 7.86151946e-4           	 0.0                     	-3.03484371              	 3.91720000e-3           	 4.47390000e-3           	 2.94580000e-3           	 3.16660000e-3           	 3.24721189e-3           	 3.75240681e-5           	 9.22903485e-4           	
Data:	 8.37000000              	 4.50321150e-4           	 0.0                     	-3.12812853              	 3.76750000e-3           	 4.32650000e-3           	 2.94580000e-3           	 3.03626335e-3           	 3.27800846e-3           	 4.53431939e-5           	 7.44511605e-4           	
Data:	 8.25000000              	 2.82598404e-4           	 0.0                     	-3.14351448              	 3.04390000e-3           	 3.44150000e-3           	 2.56060000e-3           	 2.52279956e-3           	 2.52852103e-3           	 2.37405173e-5           	 7.18597194e-4           	
Data:	 8.25000000              	 2.36894060e-4           	 0.0                     	-3.22108193              	 3.05000000e-3           	 3.44260000e-3           	 2.56250000e-3           	 2.59889763e-3           	 2.66589866e-3           	 1.80832213e-5           	 6.01060330e-4           	
Data:	 6.98000000              	 3.01205158e-3           	 0.0                     	-2.51476891              	 2.55000000e-3           	 3.83610000e-3           	 1.56250000e-3           	 2.25819738e-3           	 5.23839488e-4           	 2.84101866e-7           	 3.05654708e-3           	
Data:	 6.91000000              	 3.05049637e-3           	 0.0                     	-2.49647286              	 2.62500000e-3           	 3.91800000e-3           	 1.65630000e-3           	 2.31408141e-3           	 4.65574082e-4           	 2.15710031e-7           	 3.18806480e-3           	
Data:	 6.89000000              	 3.04693704e-3           	 0.0                     	-2.49225596              	 2.65000000e-3           	 3.93440000e-3           	 1.65630000e-3           	 2.33648027e-3           	 4.48917037e-4           	 1.98572087e-7           	 3.21917094e-3           	
Data:	 7.01000000              	 2.88380776e-3           	 0.0                     	-2.51449427              	 2.57500000e-3           	 3.88520000e-3           	 1.64580000e-3           	 2.26916464e-3           	 5.66319103e-4           	 3.26681503e-7           	 3.05848063e-3           	
Data:	 7.19000000              	 2.58136348e-3           	 0.0                     	-2.55197652              	 2.60000000e-3           	 3.88520000e-3           	 1.64580000e-3           	 2.29207428e-3           	 8.16347197e-4           	 6.77266816e-7           	 2.80558529e-3           	
Data:	 7.41000000              	 2.19493715e-3           	 0.0                     	-2.61387112              	 2.60000000e-3           	 3.85250000e-3           	 1.66670000e-3           	 2.28216996e-3           	 1.17599806e-3           	 1.62435619e-6           	 2.43292591e-3           	
Data:	 7.83000000              	 1.12819283e-3           	 0.0                     	-2.79887012              	 2.55000000e-3           	 3.83610000e-3           	 1.68750000e-3           	 2.21455354e-3           	 2.03848410e-3           	 7.36351136e-6           	 1.58902188e-3           	
Data:	 7.98000000              	 7.41847804e-4           	 0.0                     	-2.92261737              	 2.50000000e-3           	 3.67210000e-3           	 1.68750000e-3           	 2.17328663e-3           	 2.28392991e-3           	 1.08102171e-5           	 1.19504053e-3           	
Data:	 7.92000000              	 8.44716521e-4           	 0.0                     	-2.89009541              	 2.47500000e-3           	 3.60660000e-3           	 1.68750000e-3           	 2.15326405e-3           	 2.12634610e-3           	 8.84578601e-6           	 1.28796657e-3           	
Data:	 7.98000000              	 7.20822794e-4           	 0.0                     	-2.95016077              	 2.42500000e-3           	 3.42620000e-3           	 1.70830000e-3           	 2.10481566e-3           	 2.12578447e-3           	 1.01498789e-5           	 1.12160317e-3           	
Data:	 8.08000000              	 4.22877324e-4           	 0.0                     	-3.08489273              	 2.07500000e-3           	 3.00000000e-3           	 1.47920000e-3           	 1.82322347e-3           	 2.03012538e-3           	 1.13770878e-5           	 8.22445773e-4           	
Data:	 8.08000000              	 3.47046301e-4           	 0.0                     	-3.14228256              	 2.07500000e-3           	 3.00000000e-3           	 1.47920000e-3           	 1.85167893e-3           	 2.12743888e-3           	 9.27382315e-6           	 7.20638462e-4           	
