October,"14,",1984,,,,,,,,,,,
Sample,temperature,EC,pH,C(4),Ca,Mg,Na,K,F,Cl,S(6),,
,,,,as HCO3,,,,,,,as SO4,,
S-I,24.3,700,7.32,308,165,25.4,5.1,14.2,1,3.3,283,,
S-3,24.6,730,7.23,316,168,28,3.9,14.8,1.1,3.5,291,,
S-2,24.7,720,7.2,315,169,26.2,3.9,14.3,1.1,5.8,296,,
D-1,24.3,730,7.24,310,168,26,3.4,14.2,1.1,3.2,283,,
D-3,23.6,,7.43,314,168,26.2,2.8,12.9,1.2,3.5,288,,
F-I,21.4,695,7.79,312,166,25.6,3.5,13.9,1.2,3.4,286,,
F-3,20.5,695,8.06,311,164,25.2,3.7,14,1,3.5,283,,
F-4,19.7,690,8.27,278,160,25.6,3.6,14.3,1,3.8,286,,
F-5,19.6,690,8.28,273,157,25.5,3.1,14,1.1,3.4,283,,
F-2,18.4,660,8.37,264,151,25.6,3.2,14.3,1,3.4,283,,
F-6,14.4,442,8.25,210,122,21.3,3.3,11.4,0.7,4,246,,
,,,,,,,,,,,,,
April,"6,",1985,,,,,,,,,,,
Sample,temperature,EC,pH,C(4),Ca,Mg,Na,K,F,Cl,S(6),,
,,,,as HCO3,,,,,,,as SO4,,
S-I,20,590,6.98,234,102,17,2.5,6.8,0.5,3.3,150,,1
S-3,20,600,6.91,239,105,17.1,2.9,7.3,0.6,3.9,159,,2
S-2,20,600,6.89,240,106,16.6,2.4,6.9,0.6,3.8,159,,3
D-I,19.5,600,7.01,237,103,17.2,3,7.1,0.6,3.6,158,,4
D-3,17,595,7.19,237,104,16.6,2.4,6.6,0.6,3.8,158,,5
F-I,17,600,7.41,235,104,16.9,2.5,6.5,0.6,3.7,160,,6
F-3,16.5,520,7.83,234,102,16.5,2.8,6.9,0.6,3.8,162,,7
F-4,13,510,7.98,224,100,16.3,2.7,6.6,0.6,3.7,162,,8
F-5,13.5,488,7.92,220,99,16.2,2.5,6.7,0.6,3.8,162,,9
F-2,13.5,461,7.98,209,97,16.7,2.3,6.4,0.6,3.9,164,,10
F-6,11,393,8.08,183,83,15,2.5,5.8,0.6,4.3,142,,11
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
For PHREEQC,,,,,,,,,,,,,
October,"14,",1984,,,,,,,,,,,
Sample,temperature,EC,pH,C(4),Ca,Mg,Na,K,F,Cl,S(6),,
,,,,as HCO3,,,,,,,as SO4,,
S-I,24.3,,7.32,308,165,25.4,5.1,14.2,1,3.3,283,,
S-3,24.6,,7.23,316,168,28,3.9,14.8,1.1,3.5,291,,
S-2,24.7,,7.2,315,169,26.2,3.9,14.3,1.1,5.8,296,,
D-1,24.3,,7.24,310,168,26,3.4,14.2,1.1,3.2,283,,
D-3,23.6,,7.43,314,168,26.2,2.8,12.9,1.2,3.5,288,,
F-I,21.4,,7.79,312,166,25.6,3.5,13.9,1.2,3.4,286,,
F-3,20.5,,8.06,311,164,25.2,3.7,14,1,3.5,283,,
F-4,19.7,,8.27,278,160,25.6,3.6,14.3,1,3.8,286,,
F-5,19.6,,8.28,273,157,25.5,3.1,14,1.1,3.4,283,,
F-2,18.4,,8.37,264,151,25.6,3.2,14.3,1,3.4,283,,
F-6,14.4,,8.25,210,122,21.3,3.3,11.4,0.7,4,246,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,mm,61.02,40.08,24.31,23,39.1,19,34.45,96.07,,
"October 14,1984",,,,,,,,,,,,,
,,,,-1,2,2,1,1,-1,-1,-2,,
Var:,T ,deltaSIcalcite,pH,HCO3-.tot,Ca+2.tot,Mg+2.tot,Na+.tot,K+.tot,F-.tot,Cl-.tot,SO4-2.tot,,
Data:,297.45,0,7.32,5.0475E-03,4.1168E-03,1.0448E-03,2.2174E-04,3.6317E-04,5.2632E-05,9.5791E-05,2.9458E-03,,-0.000179366951620502
Data:,297.75,0,7.23,5.1786E-03,4.1916E-03,1.1518E-03,1.6957E-04,3.7852E-04,5.7895E-05,1.0160E-04,3.0290E-03,,
Data:,297.85,0,7.2,5.1622E-03,4.2166E-03,1.0777E-03,1.6957E-04,3.6573E-04,5.7895E-05,1.6836E-04,3.0811E-03,,
Data:,297.45,0,7.24,5.0803E-03,4.1916E-03,1.0695E-03,1.4783E-04,3.6317E-04,5.7895E-05,9.2888E-05,2.9458E-03,,
Data:,296.75,0,7.43,5.1459E-03,4.1916E-03,1.0777E-03,1.2174E-04,3.2992E-04,6.3158E-05,1.0160E-04,2.9978E-03,,
Data:,294.55,0,7.79,5.1131E-03,4.1417E-03,1.0531E-03,1.5217E-04,3.5550E-04,6.3158E-05,9.8694E-05,2.9770E-03,,
Data:,293.65,0,8.06,5.0967E-03,4.0918E-03,1.0366E-03,1.6087E-04,3.5806E-04,5.2632E-05,1.0160E-04,2.9458E-03,,
Data:,292.85,0,8.27,4.5559E-03,3.9920E-03,1.0531E-03,1.5652E-04,3.6573E-04,5.2632E-05,1.1030E-04,2.9770E-03,,
Data:,292.75,0,8.28,4.4739E-03,3.9172E-03,1.0490E-03,1.3478E-04,3.5806E-04,5.7895E-05,9.8694E-05,2.9458E-03,,
Data:,291.55,0,8.37,4.3265E-03,3.7675E-03,1.0531E-03,1.3913E-04,3.6573E-04,5.2632E-05,9.8694E-05,2.9458E-03,,
Data:,287.55,0,8.25,3.4415E-03,3.0439E-03,8.7618E-04,1.4348E-04,2.9156E-04,3.6842E-05,1.1611E-04,2.5606E-03,,
Data:,273.15,0.5,8.25,3.4426E-03,3.0500E-03,8.8750E-04,1.4348E-04,2.9231E-04,3.6842E-05,1.1594E-04,2.5625E-03,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
04/06/85,,,,,,,,,,,,,
,,,,,,,,,,,,,
Var:,T ,deltaSIcalcite,pH,HCO3-.tot,Ca+2.tot,Mg+2.tot,Na+.tot,K+.tot,F-.tot,Cl-.tot,SO4-2.tot,,
Data:,293.15,0,6.98,3.8348E-03,2.5449E-03,6.9930E-04,1.0870E-04,1.7391E-04,2.6316E-05,9.5791E-05,1.5614E-03,,
Data:,293.15,0,6.91,3.9167E-03,2.6198E-03,7.0341E-04,1.2609E-04,1.8670E-04,3.1579E-05,1.1321E-04,1.6550E-03,,
Data:,293.15,0,6.89,3.9331E-03,2.6447E-03,6.8285E-04,1.0435E-04,1.7647E-04,3.1579E-05,1.1030E-04,1.6550E-03,,
Data:,292.65,0,7.01,3.8840E-03,2.5699E-03,7.0753E-04,1.3043E-04,1.8159E-04,3.1579E-05,1.0450E-04,1.6446E-03,,
Data:,290.15,0,7.19,3.8840E-03,2.5948E-03,6.8285E-04,1.0435E-04,1.6880E-04,3.1579E-05,1.1030E-04,1.6446E-03,,
Data:,290.15,0,7.41,3.8512E-03,2.5948E-03,6.9519E-04,1.0870E-04,1.6624E-04,3.1579E-05,1.0740E-04,1.6655E-03,,
Data:,289.65,0,7.83,3.8348E-03,2.5449E-03,6.7873E-04,1.2174E-04,1.7647E-04,3.1579E-05,1.1030E-04,1.6863E-03,,
Data:,286.15,0,7.98,3.6709E-03,2.4950E-03,6.7051E-04,1.1739E-04,1.6880E-04,3.1579E-05,1.0740E-04,1.6863E-03,,
Data:,286.65,0,7.92,3.6054E-03,2.4701E-03,6.6639E-04,1.0870E-04,1.7136E-04,3.1579E-05,1.1030E-04,1.6863E-03,,
Data:,286.65,0,7.98,3.4251E-03,2.4202E-03,6.8696E-04,1.0000E-04,1.6368E-04,3.1579E-05,1.1321E-04,1.7071E-03,,
Data:,284.15,0,8.08,2.9990E-03,2.0709E-03,6.1703E-04,1.0870E-04,1.4834E-04,3.1579E-05,1.2482E-04,1.4781E-03,,
Data:,273.15,0.5,8.08,2.9990E-03,2.0709E-03,6.1703E-04,1.0870E-04,1.4834E-04,3.1579E-05,1.2482E-04,1.4781E-03,,
