@class: format(){
    //Output_at: (time, from:, 0, to:, 10, steps:, 100 )
  // @PHREEQCOutput: chemistry1.inp

//Var: 	 I                       	 I.calc                  	 Ca+2.logact             	 F-.logact               	 Na+.logact              	 SO4-2.logact            	 SO4-2.logact            	 Fluorite[s].con         	 Gypsum[s].con           	
//Data:	 0.0                     	 2.36358748e-2           	-2.39320814              	-4.10339593              	-3.00000000              	-2.18679186              	-2.18679186              	 2.46059294e-3           	 3.49558661e-3           	

}

@format()

// The column headers in this file can be edited and determine the output for the next run.
Var: 	pH                       	chargebalance            	Alkalinity.tot           	CO2[g].logact            	Ca+2.tot                 	HCO3-.tot                	SO4-2.tot                	Ca+2.con                 	HCO3-.con                	CO3-2.con                	CO2[g].con               	
Data:	 7.32000000              	 3.51268407e-3           	 0.0                     	-2.44687903              	 4.11680000e-3           	 5.04750000e-3           	 2.94580000e-3           	 3.41544904e-3           	 1.28608341e-3           	 1.78401495e-6           	 3.57372371e-3           	
Data:	 7.23000000              	 3.83064509e-3           	 0.0                     	-2.41309568              	 4.19160000e-3           	 5.17860000e-3           	 3.02900000e-3           	 3.47510041e-3           	 1.12627913e-3           	 1.28191254e-6           	 3.86281868e-3           	
Data:	 7.20000000              	 3.61622273e-3           	 0.0                     	-2.40759435              	 4.21660000e-3           	 5.16220000e-3           	 3.08110000e-3           	 3.48629924e-3           	 1.06289672e-3           	 1.13096250e-6           	 3.91206129e-3           	
Data:	 7.24000000              	 3.80324297e-3           	 0.0                     	-2.42411450              	 4.19160000e-3           	 5.08030000e-3           	 2.94580000e-3           	 3.48706509e-3           	 1.12746490e-3           	 1.30154419e-6           	 3.76604494e-3           	
Data:	 7.43000000              	 3.16236840e-3           	 0.0                     	-2.47258575              	 4.19160000e-3           	 5.14590000e-3           	 2.99780000e-3           	 3.46609880e-3           	 1.57886444e-3           	 2.79113147e-6           	 3.36832702e-3           	
Data:	 7.79000000              	 2.04084650e-3           	 0.0                     	-2.63499228              	 4.14170000e-3           	 5.11310000e-3           	 2.97700000e-3           	 3.40033280e-3           	 2.57151398e-3           	 9.99299928e-6           	 2.31743584e-3           	
Data:	 8.06000000              	 1.18379517e-3           	 0.0                     	-2.80606512              	 4.09180000e-3           	 5.09670000e-3           	 2.94580000e-3           	 3.33036856e-3           	 3.27388021e-3           	 2.32990704e-5           	 1.56291328e-3           	
Data:	 8.27000000              	 8.28622300e-4           	 0.0                     	-3.01543201              	 3.99200000e-3           	 4.55590000e-3           	 2.97700000e-3           	 3.22404077e-3           	 3.31641570e-3           	 3.76147248e-5           	 9.65090393e-4           	
Data:	 8.28000000              	 7.56414409e-4           	 0.0                     	-3.03134624              	 3.91720000e-3           	 4.47390000e-3           	 2.94580000e-3           	 3.16561063e-3           	 3.27423014e-3           	 3.78415237e-5           	 9.30365846e-4           	
Data:	 8.37000000              	 4.24264730e-4           	 0.0                     	-3.12512405              	 3.76750000e-3           	 4.32650000e-3           	 2.94580000e-3           	 3.03539982e-3           	 3.30151126e-3           	 4.56738646e-5           	 7.49680046e-4           	
Data:	 8.25000000              	 2.56151994e-4           	 0.0                     	-3.13938537              	 3.04390000e-3           	 3.44150000e-3           	 2.56060000e-3           	 2.52219872e-3           	 2.55318658e-3           	 2.39755785e-5           	 7.25461939e-4           	
Data:	 8.25000000              	 2.01505062e-4           	 0.0                     	-3.21570633              	 3.05000000e-3           	 3.44260000e-3           	 2.56250000e-3           	 2.59842349e-3           	 2.69969302e-3           	 1.83160127e-5           	 6.08546367e-4           	
Data:	 6.98000000              	 2.99454672e-3           	 0.0                     	-2.50098672              	 2.55000000e-3           	 3.83610000e-3           	 1.56250000e-3           	 2.25786795e-3           	 5.40802261e-4           	 2.93337407e-7           	 3.15510107e-3           	
Data:	 6.91000000              	 3.03459640e-3           	 0.0                     	-2.48239216              	 2.62500000e-3           	 3.91800000e-3           	 1.65630000e-3           	 2.31378074e-3           	 4.80979928e-4           	 2.22872225e-7           	 3.29312211e-3           	
Data:	 6.89000000              	 3.03151847e-3           	 0.0                     	-2.47809546              	 2.65000000e-3           	 3.93440000e-3           	 1.65630000e-3           	 2.33618608e-3           	 4.63856122e-4           	 2.05201947e-7           	 3.32586444e-3           	
Data:	 7.01000000              	 2.86484710e-3           	 0.0                     	-2.50068641              	 2.57500000e-3           	 3.88520000e-3           	 1.64580000e-3           	 2.26881638e-3           	 5.84695396e-4           	 3.37325985e-7           	 3.15728356e-3           	
Data:	 7.19000000              	 2.55447762e-3           	 0.0                     	-2.53839246              	 2.60000000e-3           	 3.88520000e-3           	 1.64580000e-3           	 2.29160700e-3           	 8.42419278e-4           	 6.99025372e-7           	 2.89472650e-3           	
Data:	 7.41000000              	 2.16110073e-3           	 0.0                     	-2.60202550              	 2.60000000e-3           	 3.85250000e-3           	 1.66670000e-3           	 2.28157096e-3           	 1.20873197e-3           	 1.66994926e-6           	 2.50019853e-3           	
Data:	 7.83000000              	 1.08915712e-3           	 0.0                     	-2.79105383              	 2.55000000e-3           	 3.83610000e-3           	 1.68750000e-3           	 2.21382322e-3           	 2.07592092e-3           	 7.50064646e-6           	 1.61787951e-3           	
Data:	 7.98000000              	 7.03864671e-4           	 0.0                     	-2.91584375              	 2.50000000e-3           	 3.67210000e-3           	 1.68750000e-3           	 2.17262399e-3           	 2.32029790e-3           	 1.09850533e-5           	 1.21382549e-3           	
Data:	 7.92000000              	 8.06515432e-4           	 0.0                     	-2.88275822              	 2.47500000e-3           	 3.60660000e-3           	 1.68750000e-3           	 2.15261139e-3           	 2.16300599e-3           	 9.00054610e-6           	 1.30991098e-3           	
Data:	 7.98000000              	 6.85788370e-4           	 0.0                     	-2.94344467              	 2.42500000e-3           	 3.42620000e-3           	 1.70830000e-3           	 2.10421453e-3           	 2.15932931e-3           	 1.03124122e-5           	 1.13908290e-3           	
Data:	 8.08000000              	 3.92835701e-4           	 0.0                     	-3.07884830              	 2.07500000e-3           	 3.00000000e-3           	 1.47920000e-3           	 1.82277438e-3           	 2.05893914e-3           	 1.15410166e-5           	 8.33972440e-4           	
Data:	 8.08000000              	 3.08632211e-4           	 0.0                     	-3.13482718              	 2.07500000e-3           	 3.00000000e-3           	 1.47920000e-3           	 1.85129650e-3           	 2.16469890e-3           	 9.43879526e-6           	 7.33116205e-4           	
