pH                       	T                        	Alkalinity.tot           	chargebalance            	HCO3-.tot                	Ca+2.tot                 	Ca+2.con                 	HCO3-.con                	CO3-2.con                	CO2[g].con               	CO2[g].gas               	CO2[g].logact            	Calcite[s].tot           	Calcite[s].si            	
 8.00920918              	 2.97450000e2            	 0.0                     	 0.0                     	 5.04750000e-3           	 4.11680000e-3           	 1.65924963e-3           	 7.21065789e-4           	 4.69206552e-6           	 4.16869383e-4           	 4.16869383e-4           	-3.38000000              	 2.05416869e-3           	-4.44089210e-16          	
 8.00979130              	 2.97750000e2            	 0.0                     	 0.0                     	 5.17860000e-3           	 4.19160000e-3           	 1.65354959e-3           	 7.19649306e-4           	 4.73500838e-6           	 4.16869383e-4           	 4.16869383e-4           	-3.38000000              	 2.12915062e-3           	 0.0                     	
 7.99479541              	 2.97850000e2            	 0.0                     	 0.0                     	 5.16220000e-3           	 4.21660000e-3           	 1.77444015e-3           	 6.94744661e-4           	 4.43628490e-6           	 4.16869383e-4           	 4.16869383e-4           	-3.38000000              	 2.00122044e-3           	 0.0                     	
 8.00787296              	 2.97450000e2            	 0.0                     	 0.0                     	 5.08030000e-3           	 4.19160000e-3           	 1.66999296e-3           	 7.18902061e-4           	 4.66468918e-6           	 4.16869383e-4           	 4.16869383e-4           	-3.38000000              	 2.11657501e-3           	 8.88178420e-16          	
 8.00309681              	 2.96750000e2            	 0.0                     	 0.0                     	 5.14590000e-3           	 4.19160000e-3           	 1.73420569e-3           	 7.18914075e-4           	 4.55813628e-6           	 4.16869383e-4           	 4.16869383e-4           	-3.38000000              	 2.03619044e-3           	-1.33226763e-15          	
 8.01150869              	 2.94550000e2            	 0.0                     	 0.0                     	 5.11310000e-3           	 4.14170000e-3           	 1.73585587e-3           	 7.57225920e-4           	 4.67335504e-6           	 4.16869383e-4           	 4.16869383e-4           	-3.38000000              	 1.99265956e-3           	-4.44089210e-16          	
 8.01582189              	 2.93650000e2            	 0.0                     	 0.0                     	 5.09670000e-3           	 4.09180000e-3           	 1.72788254e-3           	 7.74936249e-4           	 4.73460658e-6           	 4.16869383e-4           	 4.16869383e-4           	-3.38000000              	 1.95798893e-3           	 0.0                     	
 8.01705968              	 2.92850000e2            	 0.0                     	 0.0                     	 4.55590000e-3           	 3.99200000e-3           	 1.74729599e-3           	 7.86961044e-4           	 4.74793010e-6           	 4.16869383e-4           	 4.16869383e-4           	-3.38000000              	 1.83468542e-3           	-8.88178420e-16          	
 8.01825254              	 2.92750000e2            	 0.0                     	 0.0                     	 4.47390000e-3           	 3.91720000e-3           	 1.73833648e-3           	 7.90041717e-4           	 4.76396115e-6           	 4.16869383e-4           	 4.16869383e-4           	-3.38000000              	 1.77390468e-3           	 4.44089210e-16          	
 8.02291478              	 2.91550000e2            	 0.0                     	 0.0                     	 4.32650000e-3           	 3.76750000e-3           	 1.74074954e-3           	 8.13352947e-4           	 4.83336308e-6           	 4.16869383e-4           	 4.16869383e-4           	-3.38000000              	 1.62514354e-3           	-1.33226763e-15          	
