Anhydrite[s].si          	Ar[g].logact             	Aragonite[s].si          	CO2[g].con               	CO2[g].logact            	CO3-2.con                	Ca+2.con                 	Ca+2.logact              	Ca+2.tot                 	Calcite[s].si            	Calcite[s].tot           	Calcite[s].un            	Cl-.logact               	Cl-.tot                  	Dolomite[s].si           	F-.logact                	F-.tot                   	Fluorite[s].si           	Gypsum[s].si             	H2O.logact               	HCO3-.con                	HCO3-.logact             	HCO3-.tot                	I                        	K+.logact                	K+.tot                   	Mg+2.logact              	Mg+2.tot                 	Na+.logact               	Na+.tot                  	Node_ID                  	SO4-2.logact             	SO4-2.tot                	T                        	chargebalance            	deltaSIcalcite           	gas_res                  	gas_val_u                	logI                     	minTol                   	pH                       	
-1.41189736              	 0.0                     	-1.80985099e-1           	 4.16869383e-4           	-3.38000000              	 4.69206552e-6           	 1.65924963e-3           	-2.96374500              	 4.11680000e-3           	-4.44089210e-16          	 2.05416869e-3           	 2.05416869e-3           	-4.06458947              	 9.57910000e-5           	-1.56962610e-1           	-4.35614221              	 5.26320000e-5           	-1.17273113              	-1.15861973              	-5.15593213e-5           	 7.21065789e-4           	-3.18635908              	 5.04750000e-3           	 1.05906684e-2           	-3.49055703              	 3.63170000e-4           	-3.24235512              	 1.04480000e-3           	-3.70387021              	 2.21740000e-4           	 1.00000000              	-2.80518390              	 2.94580000e-3           	 2.97450000e2            	 0.0                     	 0.0                     	 0.0                     	 1.03032616              	-1.97507663              	 0.0                     	 8.00920918              	
-1.40574636              	 0.0                     	-1.80562346e-1           	 4.16869383e-4           	-3.38000000              	 4.73500838e-6           	 1.65354959e-3           	-2.96732081              	 4.19160000e-3           	 0.0                     	 2.12915062e-3           	 2.12915062e-3           	-4.03954080              	 1.01600000e-4           	-1.10814284e-1           	-4.31779394              	 5.78950000e-5           	-1.10102585              	-1.15392160              	-5.25744339e-5           	 7.19649306e-4           	-3.18770197              	 5.17860000e-3           	 1.08566353e-2           	-3.47319909              	 3.78520000e-4           	-3.20336705              	 1.15180000e-3           	-3.82095715              	 1.69570000e-4           	 1.00000000              	-2.79673100              	 3.02900000e-3           	 2.97750000e2            	 0.0                     	 0.0                     	 0.0                     	 1.03086712              	-1.96430475              	 0.0                     	 8.00979130              	
-1.37209017              	 0.0                     	-1.80421618e-1           	 4.16869383e-4           	-3.38000000              	 4.43628490e-6           	 1.77444015e-3           	-2.93813110              	 4.21660000e-3           	 0.0                     	 2.00122044e-3           	 2.00122044e-3           	-3.82055920              	 1.68360000e-4           	-1.69501306e-1           	-4.31662598              	 5.78950000e-5           	-1.06997141              	-1.12075042              	-5.35998686e-5           	 6.94744661e-4           	-3.20333936              	 5.16220000e-3           	 1.10496269e-2           	-3.48853854              	 3.65730000e-4           	-3.23405758              	 1.07770000e-3           	-3.82134838              	 1.69570000e-4           	 1.00000000              	-2.79268858              	 3.08110000e-3           	 2.97850000e2            	 0.0                     	 0.0                     	 0.0                     	 1.03104931              	-1.95665238              	 0.0                     	 7.99479541              	
-1.41015310              	 0.0                     	-1.80985099e-1           	 4.16869383e-4           	-3.38000000              	 4.66468918e-6           	 1.66999296e-3           	-2.96107286              	 4.19160000e-3           	 8.88178420e-16          	 2.11657501e-3           	 2.11657501e-3           	-4.07798726              	 9.28880000e-5           	-1.49570258e-1           	-4.31539755              	 5.78950000e-5           	-1.08856967              	-1.15687485              	-5.12530575e-5           	 7.18902061e-4           	-3.18769500              	 5.08030000e-3           	 1.06080509e-2           	-3.49057962              	 3.63170000e-4           	-3.23229063              	 1.06950000e-3           	-3.87997710              	 1.47830000e-4           	 1.00000000              	-2.80611177              	 2.94580000e-3           	 2.97450000e2            	 0.0                     	 0.0                     	 0.0                     	 1.03032618              	-1.97436441              	 0.0                     	 8.00787296              	
-1.39281115              	 0.0                     	-1.81974844e-1           	 4.16869383e-4           	-3.38000000              	 4.55813628e-6           	 1.73420569e-3           	-2.94587166              	 4.19160000e-3           	-1.33226763e-15          	 2.03619044e-3           	 2.03619044e-3           	-4.03934936              	 1.01600000e-4           	-1.71332442e-1           	-4.27779121              	 6.31580000e-5           	-9.94841921e-1           	-1.13613735              	-5.18306159e-5           	 7.18914075e-4           	-3.18796728              	 5.14590000e-3           	 1.07959816e-2           	-3.53261429              	 3.29920000e-4           	-3.23045971              	 1.07770000e-3           	-3.96464404              	 1.21740000e-4           	 1.00000000              	-2.80098855              	 2.99780000e-3           	 2.96750000e2            	 0.0                     	 0.0                     	 0.0                     	 1.02909680              	-1.96673786              	 0.0                     	 8.00309681              	
-1.40173560              	 0.0                     	-1.85116101e-1           	 4.16869383e-4           	-3.38000000              	 4.67335504e-6           	 1.73585587e-3           	-2.94476836              	 4.14170000e-3           	-4.44089210e-16          	 1.99265956e-3           	 1.99265956e-3           	-4.05177975              	 9.86940000e-5           	-2.07252569e-1           	-4.27596431              	 6.31580000e-5           	-9.79567313e-1           	-1.13428218              	-5.22415912e-5           	 7.57225920e-4           	-3.16525959              	 5.11310000e-3           	 1.07949802e-2           	-3.49994620              	 3.55500000e-4           	-3.23864234              	 1.05310000e-3           	-3.86757623              	 1.52170000e-4           	 1.00000000              	-2.80155055              	 2.97700000e-3           	 2.94550000e2            	 0.0                     	 0.0                     	 0.0                     	 1.02551989              	-1.96677815              	 0.0                     	 8.01150869              	
-1.40970067              	 0.0                     	-1.86414726e-1           	 4.16869383e-4           	-3.38000000              	 4.73460658e-6           	 1.72788254e-3           	-2.94598392              	 4.09180000e-3           	 0.0                     	 1.95798893e-3           	 1.95798893e-3           	-4.03898083              	 1.01600000e-4           	-2.22099181e-1           	-4.35417729              	 5.26320000e-5           	-1.13286080              	-1.13779007              	-5.20292060e-5           	 7.74936249e-4           	-3.15503598              	 5.09670000e-3           	 1.07262418e-2           	-3.49657979              	 3.58060000e-4           	-3.24369368              	 1.03660000e-3           	-3.84321186              	 1.60870000e-4           	 1.00000000              	-2.80438681              	 2.94580000e-3           	 2.93650000e2            	 0.0                     	 0.0                     	 0.0                     	 1.02417487              	-1.96955242              	 0.0                     	 8.01582189              	
-1.40531692              	 0.0                     	-1.87575760e-1           	 4.16869383e-4           	-3.38000000              	 4.74793010e-6           	 1.74729599e-3           	-2.94183300              	 3.99200000e-3           	-8.88178420e-16          	 1.83468542e-3           	 1.83468542e-3           	-4.00347436              	 1.10300000e-4           	-2.29953732e-1           	-4.35431363              	 5.26320000e-5           	-1.12509519              	-1.12942310              	-5.26889537e-5           	 7.86961044e-4           	-3.14851485              	 4.55590000e-3           	 1.08540008e-2           	-3.48756885              	 3.65730000e-4           	-3.23755308              	 1.05310000e-3           	-3.85532480              	 1.56520000e-4           	 1.00000000              	-2.80065536              	 2.97700000e-3           	 2.92850000e2            	 0.0                     	 0.0                     	 0.0                     	 1.02303344              	-1.96441015              	 0.0                     	 8.01705968              	
-1.41098179              	 0.0                     	-1.87721336e-1           	 4.16869383e-4           	-3.38000000              	 4.76396115e-6           	 1.73833648e-3           	-2.94338849              	 3.91720000e-3           	 4.44089210e-16          	 1.77390468e-3           	 1.77390468e-3           	-4.05158983              	 9.86940000e-5           	-2.30274686e-1           	-4.31264504              	 5.78950000e-5           	-1.04282607              	-1.13458727              	-5.21343821e-5           	 7.90041717e-4           	-3.14665891              	 4.47390000e-3           	 1.07662320e-2           	-3.49656262              	 3.58060000e-4           	-3.23819522              	 1.04900000e-3           	-3.92007135              	 1.34780000e-4           	 1.00000000              	-2.80432607              	 2.94580000e-3           	 2.92750000e2            	 0.0                     	 0.0                     	 0.0                     	 1.02289428              	-1.96793627              	 0.0                     	 8.01825254              	
-1.41482872              	 0.0                     	-1.89476031e-1           	 4.16869383e-4           	-3.38000000              	 4.83336308e-6           	 1.74074954e-3           	-2.94269893              	 3.76750000e-3           	-1.33226763e-15          	 1.62514354e-3           	 1.62514354e-3           	-4.05156805              	 9.86940000e-5           	-2.43434968e-1           	-4.35352630              	 5.26320000e-5           	-1.11802400              	-1.13241283              	-5.24186272e-5           	 8.13352947e-4           	-3.13401113              	 4.32650000e-3           	 1.08031222e-2           	-3.48731215              	 3.65730000e-4           	-3.23578817              	 1.05310000e-3           	-3.90626383              	 1.39130000e-4           	 1.00000000              	-2.80357501              	 2.94580000e-3           	 2.91550000e2            	 0.0                     	 0.0                     	 0.0                     	 1.02128244              	-1.96645071              	 0.0                     	 8.02291478              	
