@class: format(){
    //Output_at: (time, from:, 0, to:, 10, steps:, 100 )
  // @PHREEQCOutput: chemistry1.inp

//Var: 	 I                       	 I.calc                  	 Ca+2.logact             	 F-.logact               	 Na+.logact              	 SO4-2.logact            	 SO4-2.logact            	 Fluorite[s].con         	 Gypsum[s].con           	
//Data:	 0.0                     	 2.36358748e-2           	-2.39320814              	-4.10339593              	-3.00000000              	-2.18679186              	-2.18679186              	 2.46059294e-3           	 3.49558661e-3           	

}

@format()

// The column headers in this file can be edited and determine the output for the next run.
Var: 	pH                       	CO2[g].logact            	Ca+2.tot                 	HCO3-.tot                	SO4-2.tot                	Ca+2.con                 	HCO3-.con                	CO3-2.con                	CO2[g].con               	
Data:	 8.00263748              	-3.37000000              	 4.11680000e-3           	 7.30228644e-4           	 2.94580000e-3           	 1.66124151e-3           	 7.30228644e-4           	 4.68097844e-6           	 4.26579519e-4           	
Data:	 8.00334822              	-3.37000000              	 4.19160000e-3           	 7.29022393e-4           	 3.02900000e-3           	 1.65561568e-3           	 7.29022393e-4           	 4.72670482e-6           	 4.26579519e-4           	
Data:	 7.98843320              	-3.37000000              	 4.21660000e-3           	 7.03928403e-4           	 3.08110000e-3           	 1.77635994e-3           	 7.03928403e-4           	 4.43015851e-6           	 4.26579519e-4           	
Data:	 8.00130478              	-3.37000000              	 4.19160000e-3           	 7.28042707e-4           	 2.94580000e-3           	 1.67197091e-3           	 7.28042707e-4           	 4.65373631e-6           	 4.26579519e-4           	
Data:	 7.99623550              	-3.37000000              	 4.19160000e-3           	 7.27538025e-4           	 2.99780000e-3           	 1.73596861e-3           	 7.27538025e-4           	 4.54109276e-6           	 4.26579519e-4           	
Data:	 8.00366293              	-3.37000000              	 4.14170000e-3           	 7.64488774e-4           	 2.97700000e-3           	 1.73715675e-3           	 7.64488774e-4           	 4.63419660e-6           	 4.26579519e-4           	
Data:	 8.00757005              	-3.37000000              	 4.09180000e-3           	 7.81600867e-4           	 2.94580000e-3           	 1.72898071e-3           	 7.81600867e-4           	 4.68589729e-6           	 4.26579519e-4           	
Data:	 8.00844984              	-3.37000000              	 3.99200000e-3           	 7.93042681e-4           	 2.97700000e-3           	 1.74818024e-3           	 7.93042681e-4           	 4.69110274e-6           	 4.26579519e-4           	
Data:	 8.00959657              	-3.37000000              	 3.91720000e-3           	 7.96057539e-4           	 2.94580000e-3           	 1.73920201e-3           	 7.96057539e-4           	 4.70590935e-6           	 4.26579519e-4           	
Data:	 8.01371587              	-3.37000000              	 3.76750000e-3           	 8.18470632e-4           	 2.94580000e-3           	 1.74129522e-3           	 8.18470632e-4           	 4.76216991e-6           	 4.26579519e-4           	
Data:	 8.03321392              	-3.37000000              	 3.04390000e-3           	 9.06836035e-4           	 2.56060000e-3           	 1.67292215e-3           	 9.06836035e-4           	 4.99144238e-6           	 4.26579519e-4           	
Data:	 8.06941076              	-3.37000000              	 3.05000000e-3           	 1.25255511e-3           	 2.56250000e-3           	 1.85196505e-3           	 1.25255511e-3           	 5.40505799e-6           	 4.26579519e-4           	
Data:	 8.09272389              	-3.37000000              	 2.55000000e-3           	 9.40766166e-4           	 1.56250000e-3           	 1.09010194e-3           	 9.40766166e-4           	 6.40021339e-6           	 4.26579519e-4           	
Data:	 8.08260127              	-3.37000000              	 2.62500000e-3           	 9.20487453e-4           	 1.65630000e-3           	 1.14946360e-3           	 9.20487453e-4           	 6.14797491e-6           	 4.26579519e-4           	
Data:	 8.07770069              	-3.37000000              	 2.65000000e-3           	 9.10109520e-4           	 1.65630000e-3           	 1.17542939e-3           	 9.10109520e-4           	 6.00939936e-6           	 4.26579519e-4           	
Data:	 8.08590937              	-3.37000000              	 2.57500000e-3           	 9.34430855e-4           	 1.64580000e-3           	 1.14081906e-3           	 9.34430855e-4           	 6.21983265e-6           	 4.26579519e-4           	
Data:	 8.08427005              	-3.37000000              	 2.60000000e-3           	 9.67401704e-4           	 1.64580000e-3           	 1.19993779e-3           	 9.67401704e-4           	 6.08657431e-6           	 4.26579519e-4           	
Data:	 8.08389844              	-3.37000000              	 2.60000000e-3           	 9.66880170e-4           	 1.66670000e-3           	 1.20360083e-3           	 9.66880170e-4           	 6.08429472e-6           	 4.26579519e-4           	
Data:	 8.08173158              	-3.37000000              	 2.55000000e-3           	 9.69832334e-4           	 1.68750000e-3           	 1.22766424e-3           	 9.69832334e-4           	 6.01354385e-6           	 4.26579519e-4           	
Data:	 8.08707636              	-3.37000000              	 2.50000000e-3           	 1.03753738e-3           	 1.68750000e-3           	 1.27410664e-3           	 1.03753738e-3           	 6.04059190e-6           	 4.26579519e-4           	
Data:	 8.08497799              	-3.37000000              	 2.47500000e-3           	 1.02434698e-3           	 1.68750000e-3           	 1.27507188e-3           	 1.02434698e-3           	 5.99994892e-6           	 4.26579519e-4           	
Data:	 8.08420497              	-3.37000000              	 2.42500000e-3           	 1.02290402e-3           	 1.70830000e-3           	 1.28162255e-3           	 1.02290402e-3           	 5.98798820e-6           	 4.26579519e-4           	
Data:	 7.44912465              	-2.37000000              	 2.07500000e-3           	 2.48091426e-3           	 1.47920000e-3           	 1.82583172e-3           	 2.48091426e-3           	 3.24405057e-6           	 4.26579519e-3           	
Data:	 7.37223084              	-2.37000000              	 2.07500000e-3           	 2.49786012e-3           	 1.47920000e-3           	 1.85425086e-3           	 2.49786012e-3           	 2.11609819e-6           	 4.26579519e-3           	
