pH                       	pressure                 	Cl-.tot                  	HCO3-.con                	CO3-2.con                	Na+.con                  	Na+.tot                  	CO3-2.tot                	OH-.con                  	chargebalance            	CO2[g].logact            	H2CO3.logact             	HCO3-.logact             	CO3-2.logact             	Ca+2.logact              	CO2[g].liter             	Calcite[s].si            	Calcite[s].tot           	CO2[g].tot               	HCO3-.con                	CO3-2.con                	CO3-2.diss               	CO3-2.tot                	Ca+2.diss                	Ca+2.tot                 	Ca+2.diss                	Calcite[s].tot           	Calcite[s].con           	Aragonite[s].con         	
 10.5200394              	 1.00000066              	 1.00000000e-20          	 3.51667656e-4           	 6.47648986e-4           	 2.00000000e-3           	 2.00000000e-3           	 1.00000000e-3           	 3.53034404e-4           	 0.0                     	-6.17995543              	-7.64595543              	-3.47791606              	-3.28687670              	 1.11111111e-111         	 6.60761698e-7           	 1.11111111e-111         	 1.11111111e-111         	 6.60761698e-7           	 3.51667656e-4           	 6.47648986e-4           	 9.99339238e-4           	 1.00000000e-3           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 12.8108317              	 1.00000000              	 1.00000000e-20          	 1.33052068e-4           	 9.98669469e-2           	 3.00000000e-1           	 3.00000000e-1           	 1.00000000e-1           	 1.00133054e-1           	 0.0                     	-9.02081803              	-10.4868180              	-4.02798632              	-1.54615460              	 1.11111111e-111         	 9.53195468e-10          	 1.11111111e-111         	 1.11111111e-111         	 9.53195468e-10          	 1.33052068e-4           	 9.98669469e-2           	 9.99999990e-2           	 1.00000000e-1           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 8.86343055              	 1.00616100              	 1.00000000e-20          	 8.71904085e-2           	 6.39993937e-3           	 1.00000000e-1           	 1.00000000e-1           	 1.00000000e-1           	 9.71451213e-6           	 0.0                     	-2.21034875              	-3.67634875              	-1.16491819              	-2.63048764              	 1.11111111e-111         	 6.19895856e-3           	 1.11111111e-111         	 1.11111111e-111         	 6.19895856e-3           	 8.71904085e-2           	 6.39993937e-3           	 9.38010414e-2           	 1.00000000e-1           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 6.86724614              	 1.08072709              	 1.00000000e-20          	 9.99062917e-3           	 4.71946703e-6           	 1.00000000e-2           	 1.00000000e-2           	 1.00000000e-1           	 8.24137048e-8           	 0.0                     	-1.09298071              	-2.55898071              	-2.04373457              	-5.50548842              	 1.11111111e-111         	 8.72439509e-2           	 1.11111111e-111         	 1.11111111e-111         	 8.72439509e-2           	 9.99062917e-3           	 4.71946703e-6           	 1.27560491e-2           	 1.00000000e-1           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.6048673              	 1.00000000              	 1.00000000e-20          	 3.16105506e-5           	 9.99683894e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 7.00031611e-1           	 0.0                     	-10.4709032              	-11.9369032              	-4.68403586              	-1.40816854              	 1.11111111e-111         	 3.38140203e-11          	 1.11111111e-111         	 1.11111111e-111         	 3.38140203e-11          	 3.16105506e-5           	 9.99683894e-2           	 1.00000000e-1           	 1.00000000e-1           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.6048673              	 1.00000000              	 1.00000000e-20          	 3.16105506e-5           	 9.99683894e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 7.00031611e-1           	 0.0                     	-10.4709032              	-11.9369032              	-4.68403586              	-1.40816854              	 1.11111111e-111         	 3.38140203e-11          	 1.11111111e-111         	 1.11111111e-111         	 3.38140203e-11          	 3.16105506e-5           	 9.99683894e-2           	 1.00000000e-1           	 1.00000000e-1           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.5920187              	 1.00000000              	 2.04081633e-2           	 3.25593861e-5           	 9.99674406e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 6.79624396e-1           	 0.0                     	-10.4452104              	-11.9112104              	-4.67119169              	-1.40817300              	 1.11111111e-111         	 3.58748113e-11          	 1.11111111e-111         	 1.11111111e-111         	 3.58748113e-11          	 3.25593861e-5           	 9.99674406e-2           	 1.00000000e-1           	 1.00000000e-1           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.5787783              	 1.00000000              	 4.08163265e-2           	 3.35669425e-5           	 9.99664330e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 6.59217240e-1           	 0.0                     	-10.4187344              	-11.8847344              	-4.65795607              	-1.40817773              	 1.11111111e-111         	 3.81298928e-11          	 1.11111111e-111         	 1.11111111e-111         	 3.81298928e-11          	 3.35669425e-5           	 9.99664330e-2           	 1.00000000e-1           	 1.00000000e-1           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.5651217              	 1.00000000              	 6.12244898e-2           	 3.46388448e-5           	 9.99653611e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 6.38810149e-1           	 0.0                     	-10.3914261              	-11.8574261              	-4.64430442              	-1.40818277              	 1.11111111e-111         	 4.06044774e-11          	 1.11111111e-111         	 1.11111111e-111         	 4.06044774e-11          	 3.46388448e-5           	 9.99653611e-2           	 1.00000000e-1           	 1.00000000e-1           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.5510216              	 1.00000000              	 8.16326531e-2           	 3.57814599e-5           	 9.99642185e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 6.18403128e-1           	 0.0                     	-10.3632313              	-11.8292313              	-4.63020973              	-1.40818814              	 1.11111111e-111         	 4.33280043e-11          	 1.11111111e-111         	 1.11111111e-111         	 4.33280043e-11          	 3.57814599e-5           	 9.99642185e-2           	 1.00000000e-1           	 1.00000000e-1           	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
