pH                       	chargebalance            	CO2[g].con               	Cl-.tot                  	I                        	CO3-2.tot                	CO3-2.diss               	H2CO3.con                	HCO3-.con                	CO3-2.con                	CO2.con                  	CO2[g].tot               	
 11.4220942              	 0.0                     	 5.66418513e-7           	 1.00000000e-20          	 2.96862693e-1           	 1.00000000e-1           	 9.99999410e-2           	 1.92813501e-8           	 3.13720981e-3           	 9.68626926e-2           	 1.92813501e-8           	 5.89980689e-8           	
 9.94768996              	 0.0                     	 2.78060280e-4           	 1.00000000e-20          	 1.99947448e-1           	 1.00000000e-1           	 9.99710370e-2           	 9.46539965e-6           	 5.00046581e-2           	 4.99474480e-2           	 9.46539965e-6           	 2.89630291e-5           	
 6.97633084              	 0.0                     	 2.88574010e-1           	 1.00000000e-20          	 5.00405147e-2           	 1.00000000e-1           	 6.96062403e-2           	 9.82329563e-3           	 4.99192629e-2           	 4.03861062e-5           	 9.82329563e-3           	 3.03937597e-2           	
 11.4220942              	 0.0                     	 5.66418513e-7           	 1.00000000e-20          	 2.96862693e-1           	 1.00000000e-1           	 9.99999410e-2           	 1.92813501e-8           	 3.13720981e-3           	 9.68626926e-2           	 1.92813501e-8           	 5.89980689e-8           	
 11.4213916              	 0.0                     	 5.68226395e-7           	 1.00000000e-5           	 2.96857771e-1           	 1.00000000e-1           	 9.99999408e-2           	 1.93428918e-8           	 3.14213139e-3           	 9.68577707e-2           	 1.93428918e-8           	 5.91863776e-8           	
 10.5145119              	 0.0                     	 3.04993611e-5           	 2.04179592e-2           	 2.79202013e-1           	 1.00000000e-1           	 9.99968232e-2           	 1.03822323e-6           	 2.07927342e-2           	 7.92020125e-2           	 1.03822323e-6           	 3.17681264e-6           	
 10.0952125              	 0.0                     	 1.58586434e-4           	 4.08259184e-2           	 2.59055988e-1           	 1.00000000e-1           	 9.99834816e-2           	 5.39841209e-6           	 4.09166969e-2           	 5.90559878e-2           	 5.39841209e-6           	 1.65184407e-5           	
 9.74162487              	 0.0                     	 5.38266372e-4           	 6.12338776e-2           	 2.38795036e-1           	 1.00000000e-1           	 9.99439331e-2           	 1.83230281e-5           	 6.11122513e-2           	 3.87950357e-2           	 1.83230281e-5           	 5.60669136e-5           	
 9.30593929              	 0.0                     	 1.95942258e-3           	 8.16418367e-2           	 2.18672518e-1           	 1.00000000e-1           	 9.97958913e-2           	 6.67003494e-5           	 8.09899735e-2           	 1.86725172e-2           	 6.67003494e-5           	 2.04108651e-4           	
 8.28778963              	 0.0                     	 2.38256359e-2           	 1.02049796e-1           	 2.02054070e-1           	 1.00000000e-1           	 9.75160354e-2           	 8.11044157e-4           	 9.38398838e-2           	 2.05406327e-3           	 8.11044157e-4           	 2.48396463e-3           	
