NodeID: 0
 nr   logfactor           convergence         logI                        I.eq                pH                          chargebalance       Cl-.logact                  Cl-.tot             Na+.logact                  Na+.tot             SO3-2.logact                SO3-2.tot          
                                                                          0.0                                             0.0                                            -5.00000000                                      2.00000003e-1                                   1.00000001e-1      
 300  0                   21.6126            -5.23013897e-1            X -9.99999999e-1       1.00000000               X -4.09221172e8       -18.8696858               X  1.84034936e-19     -8.33556061e-1               2.00000003e-1      -1.53874985               X  4.09841040e8       
 300  -0.69897            19.4224            -3.23013897e-1            X -9.99999817e-1       1.10000000               X -2.60586115e6       -19.8696858               X  1.84382835e-20     -8.33556061e-1            X  2.00378082e-1      -2.53874985               X  2.64497243e6       
 300  -0.69897            17.2379            -1.23013934e-1            X -9.99948569e-1       1.20000000               X -1.48256322e4       -20.8696858               X  1.78662407e-21     -8.33631677e-1            X  1.94127603e-1      -3.53874985               X  1.72936450e4       
 300  -4.23788            15.4398            -1.22956112e-1            X -9.92865542e-1       1.30000000               X -1.19402975e2       -20.8699749               X  1.78540667e-21     -8.33631338e-1            X  1.94124670e-1      -4.53874985               X  2.75366960e2       
 300  -3.07702            14.9583            -1.22124587e-1            X -9.71678735e-1       1.40000000               X -32.9108941         -20.8741624               X  1.76786940e-21     -8.33626417e-1            X  1.94082410e-1      -4.76928595               X  90.9356139         
 300  -2.51734            14.4517            -1.19172133e-1            X -8.81528945e-1       1.50000000               X -8.84751248         -20.8893550               X  1.70569385e-21     -8.33608436e-1            X  1.93931161e-1      -5.04529065               X  28.3921405         
 300  -1.94682            13.9217            -1.09208554e-1            X -5.34965282e-1       1.60000000               X -2.38915450         -20.9458680               X  1.49329493e-21     -8.33539843e-1            X  1.93407700e-1      -5.36506573               X  8.44988363         
 300  -1.37824            13.699             -8.68171480e-2            X  5.06345016e-1       1.70000000               X -5.88866184e-1      -21.1551471               X  9.15898465e-22     -8.33263916e-1            X  1.92189865e-1      -5.71455688               X  2.45340605         
 300  -0.770017           13.699             -1.72803579e-1            X  1.83769201          1.80000000               X -2.97091588e-2      -22.0042364               X  1.32651457e-22     -8.31937615e-1            X  1.97247187e-1      -6.11420728               X  6.62032187e-1      
 300  -0.69897            13.699             -5.40341980e-1            X  3.81152716e-1       1.80594183               X  3.09876473e-2      -23.0042364               X  1.34841931e-23     -8.31387052e-1            X  2.00758675e-1      -6.22661372               X  5.01906451e-1      
 300  -0.69897            13.699             -6.16572524e-1            X  2.62423461e-1       1.79974430               X  6.14216024e-2      -24.0042364               X  1.33933291e-24     -8.31538787e-1            X  1.99336195e-1      -6.30699501               X  4.25166737e-1      
 300  -0.69897            13.699             -6.69057216e-1            X  1.82507067e-1       1.78745998               X  8.01895401e-2      -25.0042364               X  1.33156123e-25     -8.31406025e-1            X  1.98240108e-1      -6.37202836               X  3.82142964e-1      
 300  -0.69897            13.699             -7.05558629e-1            X  1.29664388e-1       1.77142207               X  9.33902408e-2      -26.0042364               X  1.32557443e-26     -8.31054046e-1            X  1.97508814e-1      -6.42845695               X  3.55728803e-1      
 300  -0.69897            13.699             -7.31491507e-1            X  9.38847521e-2       1.75274403               X  1.03529320e-1      -27.0042364               X  1.32107657e-27     -8.30555808e-1            X  1.97064589e-1      -6.47960271               X  3.38905605e-1      
 300  -0.69897            13.699             -7.50268457e-1            X  6.90196201e-2       1.73203816               X  1.11836965e-1      -28.0042364               X  1.31770849e-28     -8.29968725e-1            X  1.96828068e-1      -6.52738383               X  3.28220482e-1      
 300  -0.69897            13.699             -7.64072381e-1            X  5.13173117e-2       1.70967077               X  1.18994981e-1      -29.0042364               X  1.31517838e-29     -8.29334338e-1            X  1.96737312e-1      -6.57302793               X  3.21768210e-1      
 300  -0.69897            13.699             -7.74335843e-1            X  3.84236590e-2       1.68587177               X  1.25417621e-1      -30.0042364               X  1.31326967e-30     -8.28681800e-1            X  1.96747182e-1      -6.61738157               X  3.18411028e-1      
 300  -0.69897            13.699             -7.82020575e-1            X  2.88157510e-2       1.66078825               X  1.31376257e-1      -31.0042364               X  1.31182601e-31     -8.28031236e-1            X  1.96825521e-1      -6.66106377               X  3.17430102e-1      
 300  -0.69897            13.699             -7.87783725e-1            X  2.14802981e-2       1.63451300               X  1.37060725e-1      -32.0042364               X  1.31073554e-32     -8.27396339e-1            X  1.96949618e-1      -6.70454979               X  3.18352907e-1      
 300  -0.69897            13.699             -7.92079785e-1            X  1.57250951e-2       1.60710085               X  1.42612119e-1      -33.0042364               X  1.30991846e-33     -8.26786262e-1            X  1.97103532e-1      -6.74822038               X  3.20860879e-1      
 300  -0.69897            13.699             -7.95224804e-1            X  1.10646800e-2       1.57857843               X  1.48141603e-1      -34.0042364               X  1.30931808e-34     -8.26206968e-1            X  1.97276159e-1      -6.79239255               X  3.24737019e-1      
 300  -0.69897            13.699             -7.97437740e-1            X  7.14881523e-3       1.54895011               X  1.53741986e-1      -35.0042364               X  1.30889452e-35     -8.25662199e-1            X  1.97459876e-1      -6.83733995               X  3.29834823e-1      
 300  -0.69897            13.699             -7.98867503e-1            X  3.71650633e-3       1.51820171               X  1.59495371e-1      -36.0042364               X  1.30862039e-36     -8.25154174e-1            X  1.97649590e-1      -6.88330692               X  3.36059331e-1      
 300  -0.69897            13.699             -7.99610804e-1            X  5.65657766e-4       1.48630264               X  1.65478658e-1      -37.0042364               X  1.30847773e-37     -8.24684092e-1            X  1.97842073e-1      -6.93051878               X  3.43355438e-1      
 300  -0.69897            13.699             -7.99723936e-1            X -2.46751027e-3       1.45320690               X  1.71767926e-1      -38.0042364               X  1.30845601e-38     -8.24252505e-1            X  1.98035491e-1      -6.97918987               X  3.51700863e-1      
 300  -0.69897            13.699             -7.99230434e-1            X -5.52289541e-3       1.41885332               X  1.78442342e-1      -39.0042364               X  1.30855075e-39     -8.23859603e-1            X  1.98229085e-1      -7.02953004               X  3.61102309e-1      
 300  -0.69897            13.699             -7.98125855e-1            X -8.72709023e-3       1.38316485               X  1.85588062e-1      -40.0042364               X  1.30876264e-40     -8.23505419e-1            X  1.98422939e-1      -7.08175051               X  3.71594054e-1      
 300  -0.69897            13.699             -7.96380437e-1            X -1.22016171e-2       1.34604724               X  1.93302537e-1      -41.0042364               X  1.30909700e-41     -8.23190007e-1            X  1.98617829e-1      -7.13606932               X  3.83238642e-1      
 300  -0.69897            13.699             -7.93940113e-1            X -1.60698753e-2       1.30738673               X  2.01699683e-1      -42.0042364               X  1.30956355e-42     -8.22913572e-1            X  1.98815122e-1      -7.19271704               X  3.96129646e-1      
 300  -0.69897            13.699             -7.90726138e-1            X -2.04635982e-2       1.26704679               X  2.10916421e-1      -43.0042364               X  1.31017629e-43     -8.22676596e-1            X  1.99016713e-1      -7.25194297               X  4.10396809e-1      
 300  -0.69897            13.699             -7.86633419e-1            X -2.55294999e-2       1.22486351               X  2.21121372e-1      -44.0042364               X  1.31095371e-44     -8.22479938e-1            X  1.99224997e-1      -7.31402233               X  4.26214157e-1      
