pH                       	pressure                 	Cl-.tot                  	H[SO3]-.con              	SO3-2.con                	Na+.con                  	Na+.tot                  	SO3-2.tot                	OH-.con                  	chargebalance            	CO2[g].logact            	H2CO3.logact             	HCO3-.logact             	CO3-2.logact             	Ca+2.logact              	CO2[g].liter             	Calcite[s].si            	Calcite[s].tot           	CO2[g].tot               	HCO3-.con                	CO3-2.con                	CO3-2.diss               	CO3-2.tot                	Ca+2.diss                	Ca+2.tot                 	Ca+2.diss                	Calcite[s].tot           	Calcite[s].con           	Aragonite[s].con         	
 9.84543460              	 1.03118890              	 1.00000000e-20          	 8.32613625e-5           	 9.99167378e-2           	 2.00000000e-1           	 2.00000000e-1           	 1.00000000e-1           	 8.32623936e-5           	 0.0                     	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 12.9096182              	 1.03118890              	 1.00000000e-20          	 7.09904463e-8           	 9.99999290e-2           	 3.00000000e-1           	 3.00000000e-1           	 1.00000000e-1           	 1.00000071e-1           	 0.0                     	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 4.48223547              	 1.03133756              	 1.00000000e-20          	 9.81717524e-2           	 4.23483286e-4           	 1.00000000e-1           	 1.00000000e-1           	 1.00000000e-1           	 3.19563166e-10          	 0.0                     	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 1.75412555              	 1.05818356              	 1.00000000e-20          	 3.06790797e-2           	 1.92878767e-7           	 1.00000000e-2           	 1.00000000e-2           	 1.00000000e-1           	 5.39798064e-13          	 0.0                     	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.7042276              	 1.03118890              	 1.00000000e-20          	 1.44463257e-8           	 9.99999856e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 7.00000014e-1           	 0.0                     	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.7042276              	 1.03118890              	 1.00000000e-20          	 1.44463257e-8           	 9.99999856e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 7.00000014e-1           	 0.0                     	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.6913777              	 1.03118890              	 2.04081633e-2           	 1.48801492e-8           	 9.99999851e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 6.79591852e-1           	 0.0                     	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.6781360              	 1.03118890              	 4.08163265e-2           	 1.53408348e-8           	 9.99999847e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 6.59183689e-1           	 0.0                     	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.6644778              	 1.03118890              	 6.12244898e-2           	 1.58309572e-8           	 9.99999842e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 6.38775526e-1           	 0.0                     	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
 13.6503761              	 1.03118890              	 8.16326531e-2           	 1.63534309e-8           	 9.99999836e-2           	 9.00000000e-1           	 9.00000000e-1           	 1.00000000e-1           	 6.18367363e-1           	 0.0                     	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	 1.11111111e-111         	
