name,reaction,mu_max,K_pH,pH_opt1,pH_opt2,kT,T_opt,limiting_substrate,monitoring_species,K_lim_NH4,K_lim_NO3,K_tox_O2,K_lim_O2,K_tox_NH4,K_X,K_lim_main,DG_dis,CO3-2.tot,H.tot,Ca+2.tot,waste.tot,acetate.tot,methanogens.tot,oxidizers.tot,nitrifiers.tot,denitrifiers.tot,NH4+.tot,NO3-.tot,O2.tot,N2.tot,CO2[g].logact,CH4[g].logact,HCO3-.logact,H+.logact,H2O.logact,O2[g].logact,pH,NH4_ads.adsorbed
initial,,,,,,,,,,,,,,,,,,1.3,1.5,0.5,0.6,1E-07,0.04,0.04,0.04,0.04,1.1,1,,,,,,,,,,
C1,anaerobic fermentation of waste,0.08,500,6.5,7.5,0.05,60,waste.tot,acetate.tot,0,0,1E+99,0,0.0001,0.4,0.05,0,,,,-1,0.34375,,,,,0.0313,,,,,,-0.15625,0.3125,-0.1875,,,
C2,methanogenesis of acetate,0.5,500,6,8,0.055,65,acetate.tot,methanogens.tot,0.01,0,0.00001,0,1E+99,1E-99,0.4,250,,,,,-1,,,,,,,,,1,1,,-1,,,,
A2,acetate to biomass,,,,,,,,,,,,,,,,,,,,,-0.525,1,,,,-0.2,,,,,,0.05,-0.275,0.4,,,
C3,acetate to CO2 (aerobic),10,500,6,7.5,0.05,60,acetate.tot,oxidizers.tot,0.01,0,1E+99,1E-05,1E+99,1E-99,0.03,250,,,,,-1,,,,,,,-2,,2,,,-1,2,,,
A3,acetate to biomass,,,,,,,,,,,,,,,,,,,,,-0.525,,1,,,-0.2,,,,,,0.05,-0.275,0.4,,,
C4,nitrification by bacteria,1.4,500,7,8,0.055,32,acetate.tot,nitrifiers.tot,0.01,0,1E+99,1E-05,1E+99,1E-99,0.3,250,,,,,,,,,,-1,1,-2,,,,,2,1,,,
A4,acetate to biomass,,,,,,,,,,,,,,,,,,,,,-0.525,,,1,,-0.2,,,,,,0.05,-0.275,0.4,,,
C5,denitrificatie by bacteria,1,500,6,7,0.055,35,acetate.tot,denitrifiers.tot,0.01,0.01,0.00001,0,1E+99,0,0.1,250,,,,,-1,,,,,,-1.6,,0.8,,,2,-0.6,0.8,,,
A5,acetate to biomass,,,,,,,,,,,,,,,,,,,,,-0.525,,,,1,-0.2,,,,,,0.05,-0.275,0.4,,,
C6,methanogens decay,0.015,1E+99,4.5,9.5,0.048,80,methanogens.tot,acetate.tot,0,0,1E+99,0,1E+99,1E-99,0.02,0,,,,,0.525,-1,,,,0.2,,,,,,-0.05,0.275,-0.4,,,
C7,oxidizers decay,0.015,1E+99,4.5,9.5,0.048,80,oxidizers.tot,acetate.tot,0,0,1E+99,0,1E+99,1E-99,0.02,0,,,,,0.525,,-1,,,0.2,,,,,,-0.05,0.275,-0.4,,,
C8,nitrifiers decay,0.015,1E+99,4.5,9.5,0.048,80,nitrifiers.tot,acetate.tot,0,0,1E+99,0,1E+99,1E-99,0.02,0,,,,,0.525,,,-1,,0.2,,,,,,-0.05,0.275,-0.4,,,
C9,denitrifiers decay,0.015,1E+99,4.5,9.5,0.048,80,denitrifiers.tot,acetate.tot,0,0,1E+99,0,1E+99,1E-99,0.02,0,,,,,0.525,,,,-1,0.2,,,,,,-0.05,0.275,-0.4,,,
C10,oxygen addition,0.01,1E+99,7.5,7.5,0,0,O2.tot,O2.tot,0,0,1E+99,0,1E+99,1E-99,0,0,,,,,,,,,,,,1,,,,,,,,,
Gf,,,,,,,,,,,,,,,,,,,,,0,-369.4,-67.2,-67.2,-67.2,-67.2,-79.4,-111.3,0,0,-394.4,-50.7,-586.9,0,-237.2,,,
Molar_mass,,,,,,,,,,,,,,,,,,60,1.008,40.077,22.17,59.04,123.027,123.027,123.027,123.027,18.032,62,32,28,,,,,,,,
is_output,,,,,,,,,,,,,,,,,,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
