 pH                      	 T                       	 pe                      	 C.tot                   	 C.diss                  	 CO3-2.con               	 HCO3-.con               	 H2CO3.con               	
 2.00000000              	 2.98150000e2            	 7.00000000              	 1.00000000e-3           	 1.00000000e-3           	 2.08439820e-16          	 4.44611499e-8           	 9.99955539e-4           	
 2.50000000              	 2.98150000e2            	 7.00000000              	 1.00000000e-3           	 1.00000000e-3           	 2.08419783e-15          	 1.40584985e-7           	 9.99859415e-4           	
 3.00000000              	 2.98150000e2            	 7.00000000              	 1.00000000e-3           	 1.00000000e-3           	 2.08356447e-14          	 4.44433658e-7           	 9.99555566e-4           	
 3.50000000              	 2.98150000e2            	 7.00000000              	 1.00000000e-3           	 1.00000000e-3           	 2.08156410e-13          	 1.40407333e-6           	 9.98595926e-4           	
 4.00000000              	 2.98150000e2            	 7.00000000              	 1.00000000e-3           	 1.00000000e-3           	 2.07526361e-12          	 4.42663048e-6           	 9.95573367e-4           	
 4.50000000              	 2.98150000e2            	 7.00000000              	 1.00000000e-3           	 1.00000000e-3           	 2.05558829e-11          	 1.38655192e-5           	 9.86134460e-4           	
 5.00000000              	 2.98150000e2            	 7.00000000              	 1.00000000e-3           	 1.00000000e-3           	 1.99575305e-10          	 4.25703088e-5           	 9.57429492e-4           	
 5.50000000              	 2.98150000e2            	 7.00000000              	 1.00000000e-3           	 1.00000000e-3           	 1.82752796e-9           	 1.23271883e-4           	 8.76726290e-4           	
 6.00000000              	 2.98150000e2            	 7.00000000              	 1.00000000e-3           	 1.00000000e-3           	 1.44290163e-8           	 3.07777398e-4           	 6.92208173e-4           	
 6.50000000              	 2.98150000e2            	 7.00000000              	 1.00000000e-3           	 1.00000000e-3           	 8.66279775e-8           	 5.84329988e-4           	 4.15583384e-4           	
 7.00000000              	 2.98150000e2            	 7.00000000              	 1.00000000e-3           	 1.00000000e-3           	 3.82587910e-7           	 8.16077195e-4           	 1.83540217e-4           	
 7.50000000              	 2.98150000e2            	 7.00000000              	 1.00000000e-3           	 1.00000000e-3           	 1.38216738e-6           	 9.32310640e-4           	 6.63071926e-5           	
 8.00000000              	 2.98150000e2            	 7.00000000              	 1.00000000e-3           	 1.00000000e-3           	 4.56408794e-6           	 9.73540456e-4           	 2.18954565e-5           	
 8.50000000              	 2.98150000e2            	 7.00000000              	 1.00000000e-3           	 1.00000000e-3           	 1.45069376e-5           	 9.78533599e-4           	 6.95946319e-6           	
 9.00000000              	 2.98150000e2            	 7.00000000              	 1.00000000e-3           	 1.00000000e-3           	 4.46859023e-5           	 9.53170366e-4           	 2.14373220e-6           	
 9.50000000              	 2.98150000e2            	 7.00000000              	 1.00000000e-3           	 1.00000000e-3           	 1.29030966e-4           	 8.70350029e-4           	 6.19004703e-7           	
 10.0000000              	 2.98150000e2            	 7.00000000              	 1.00000000e-3           	 1.00000000e-3           	 3.19129451e-4           	 6.80717452e-4           	 1.53097072e-7           	
 10.5000000              	 2.98150000e2            	 7.00000000              	 1.00000000e-3           	 1.00000000e-3           	 5.97166088e-4           	 4.02805264e-4           	 2.86480547e-8           	
 11.0000000              	 2.98150000e2            	 7.00000000              	 1.00000000e-3           	 1.00000000e-3           	 8.24192157e-4           	 1.75803889e-4           	 3.95392546e-9           	
 11.5000000              	 2.98150000e2            	 7.00000000              	 1.00000000e-3           	 1.00000000e-3           	 9.36809148e-4           	 6.31904027e-5           	 4.49418683e-10          	
 12.0000000              	 2.98150000e2            	 7.00000000              	 1.00000000e-3           	 1.00000000e-3           	 9.79114991e-4           	 2.08849625e-5           	 4.69714211e-11          	
